measure,location,sex,age,cause,rei,metric,year,val,upper,lower
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,1990,0.097403479,0.184799509,0.019549447
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,1991,0.097877854,0.17804565,0.019605965
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,1992,0.099017704,0.182087738,0.020636501
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,1993,0.099487834,0.183862177,0.019982967
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,1994,0.100551855,0.181528737,0.019683315
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,1995,0.101543303,0.179885506,0.021376784
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,1996,0.101711985,0.184098348,0.021700171
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,1997,0.101377916,0.180859369,0.021405214
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,1998,0.101529683,0.182732001,0.021517937
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,1999,0.102658557,0.18474162,0.021476829
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,2000,0.1028973,0.191004819,0.021722305
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,2001,0.102228206,0.184844797,0.020950956
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,2002,0.09955664,0.17529249,0.021117819
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,2003,0.098282597,0.176890703,0.021125248
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,2004,0.098114661,0.175195486,0.019246497
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,2005,0.098012038,0.176495536,0.020669051
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,2006,0.095764497,0.173849348,0.019872391
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,2007,0.094830641,0.168109167,0.020451544
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,2008,0.093912953,0.170396757,0.019155715
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,2009,0.092622905,0.164460435,0.019151119
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,2010,0.092956293,0.167956873,0.018547885
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,2011,0.09335238,0.169525115,0.019335476
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,2012,0.090809402,0.166519662,0.017767331
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,2013,0.087231643,0.157266744,0.017817022
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,2014,0.085110525,0.157947906,0.016255014
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,2015,0.085155664,0.152116574,0.016726341
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,2016,0.086380575,0.156364645,0.017493787
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,2017,0.087678912,0.154502143,0.017317553
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,2018,0.089214984,0.162650317,0.018322629
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,2019,0.092066989,0.168178353,0.01790551
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,2020,0.093537843,0.167223679,0.017963776
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,2021,0.094111491,0.17295331,0.018080145
Deaths,China,Both,Age-standardized,Tuberculosis,Low physical activity,Rate,1990,0.172454031,0.328039696,0.053947447
Deaths,China,Both,Age-standardized,Tuberculosis,Low physical activity,Rate,1991,0.164454911,0.305786969,0.050868774
Deaths,China,Both,Age-standardized,Tuberculosis,Low physical activity,Rate,1992,0.153916659,0.294429986,0.047858644
Deaths,China,Both,Age-standardized,Tuberculosis,Low physical activity,Rate,1993,0.142474339,0.268340196,0.043087899
Deaths,China,Both,Age-standardized,Tuberculosis,Low physical activity,Rate,1994,0.131196092,0.248923202,0.039429763
Deaths,China,Both,Age-standardized,Tuberculosis,Low physical activity,Rate,1995,0.121431953,0.223285607,0.037086657
Deaths,China,Both,Age-standardized,Tuberculosis,Low physical activity,Rate,1996,0.112246261,0.212493016,0.035485742
Deaths,China,Both,Age-standardized,Tuberculosis,Low physical activity,Rate,1997,0.103898966,0.191506328,0.031087841
Deaths,China,Both,Age-standardized,Tuberculosis,Low physical activity,Rate,1998,0.096605246,0.179634671,0.030008407
Deaths,China,Both,Age-standardized,Tuberculosis,Low physical activity,Rate,1999,0.091948094,0.171250353,0.028168396
Deaths,China,Both,Age-standardized,Tuberculosis,Low physical activity,Rate,2000,0.090361285,0.172525907,0.027594091
Deaths,China,Both,Age-standardized,Tuberculosis,Low physical activity,Rate,2001,0.086797259,0.161842302,0.026011463
Deaths,China,Both,Age-standardized,Tuberculosis,Low physical activity,Rate,2002,0.08452877,0.159422822,0.025594621
Deaths,China,Both,Age-standardized,Tuberculosis,Low physical activity,Rate,2003,0.082996282,0.157732219,0.025080702
Deaths,China,Both,Age-standardized,Tuberculosis,Low physical activity,Rate,2004,0.079460546,0.152048767,0.024036065
Deaths,China,Both,Age-standardized,Tuberculosis,Low physical activity,Rate,2005,0.072817759,0.136880445,0.022655458
Deaths,China,Both,Age-standardized,Tuberculosis,Low physical activity,Rate,2006,0.060788639,0.118087072,0.018633634
Deaths,China,Both,Age-standardized,Tuberculosis,Low physical activity,Rate,2007,0.05325521,0.104433101,0.016717857
Deaths,China,Both,Age-standardized,Tuberculosis,Low physical activity,Rate,2008,0.048076246,0.093220977,0.014995744
Deaths,China,Both,Age-standardized,Tuberculosis,Low physical activity,Rate,2009,0.043244013,0.0836141,0.013056596
Deaths,China,Both,Age-standardized,Tuberculosis,Low physical activity,Rate,2010,0.039524874,0.076695534,0.012320184
Deaths,China,Both,Age-standardized,Tuberculosis,Low physical activity,Rate,2011,0.036241521,0.069775641,0.011496319
Deaths,China,Both,Age-standardized,Tuberculosis,Low physical activity,Rate,2012,0.033513534,0.064373362,0.010628538
Deaths,China,Both,Age-standardized,Tuberculosis,Low physical activity,Rate,2013,0.030843587,0.058424447,0.009914541
Deaths,China,Both,Age-standardized,Tuberculosis,Low physical activity,Rate,2014,0.028728459,0.054136095,0.009433225
Deaths,China,Both,Age-standardized,Tuberculosis,Low physical activity,Rate,2015,0.027683499,0.051651373,0.008654864
Deaths,China,Both,Age-standardized,Tuberculosis,Low physical activity,Rate,2016,0.026635568,0.049086722,0.008719178
Deaths,China,Both,Age-standardized,Tuberculosis,Low physical activity,Rate,2017,0.025080228,0.048213207,0.007764958
Deaths,China,Both,Age-standardized,Tuberculosis,Low physical activity,Rate,2018,0.023652068,0.043335563,0.00768372
Deaths,China,Both,Age-standardized,Tuberculosis,Low physical activity,Rate,2019,0.022386827,0.041663011,0.00688233
Deaths,China,Both,Age-standardized,Tuberculosis,Low physical activity,Rate,2020,0.021519537,0.03937297,0.006716428
Deaths,China,Both,Age-standardized,Tuberculosis,Low physical activity,Rate,2021,0.021012876,0.040521663,0.006570065
Deaths,China,Both,Age-standardized,Diabetes mellitus,Low physical activity,Rate,1990,0.889682856,1.398717445,0.374562153
Deaths,China,Both,Age-standardized,Diabetes mellitus,Low physical activity,Rate,1991,0.879978101,1.413412837,0.362117664
Deaths,China,Both,Age-standardized,Diabetes mellitus,Low physical activity,Rate,1992,0.884336303,1.423230745,0.380083431
Deaths,China,Both,Age-standardized,Diabetes mellitus,Low physical activity,Rate,1993,0.891736985,1.42457738,0.382002078
Deaths,China,Both,Age-standardized,Diabetes mellitus,Low physical activity,Rate,1994,0.900726682,1.388491387,0.368310347
Deaths,China,Both,Age-standardized,Diabetes mellitus,Low physical activity,Rate,1995,0.911514538,1.417469557,0.393620225
Deaths,China,Both,Age-standardized,Diabetes mellitus,Low physical activity,Rate,1996,0.921848581,1.437333998,0.403960307
Deaths,China,Both,Age-standardized,Diabetes mellitus,Low physical activity,Rate,1997,0.928412346,1.447338198,0.404874771
Deaths,China,Both,Age-standardized,Diabetes mellitus,Low physical activity,Rate,1998,0.954004567,1.475769501,0.42274273
Deaths,China,Both,Age-standardized,Diabetes mellitus,Low physical activity,Rate,1999,0.980623037,1.531531567,0.436740884
Deaths,China,Both,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2000,1.015352459,1.612338964,0.438894393
Deaths,China,Both,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2001,1.040641168,1.604799595,0.472213579
Deaths,China,Both,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2002,1.053422074,1.64387279,0.470227625
Deaths,China,Both,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2003,1.094642352,1.694810932,0.493419416
Deaths,China,Both,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2004,1.123733518,1.731474701,0.486371379
Deaths,China,Both,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2005,1.106777839,1.731495216,0.484259907
Deaths,China,Both,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2006,1.024198991,1.570403832,0.450471037
Deaths,China,Both,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2007,0.98621216,1.507283099,0.436452113
Deaths,China,Both,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2008,0.981572077,1.538768116,0.424347341
