measure,location,sex,age,cause,rei,metric,year,val,upper,lower
Deaths,China,Male,25-29 years,All causes,Low physical activity,Rate,2021,0.064166793,0.186287144,0.006948664
Deaths,China,Female,25-29 years,All causes,Low physical activity,Rate,2021,0.072854733,0.181520014,0.016181265
Deaths,China,Both,25-29 years,All causes,Low physical activity,Rate,2021,0.068272202,0.155835712,0.018678852
Deaths,China,Male,30-34 years,All causes,Low physical activity,Rate,2021,0.144834699,0.427886916,0.015288199
Deaths,China,Female,30-34 years,All causes,Low physical activity,Rate,2021,0.150041559,0.356113745,0.029490049
Deaths,China,Both,30-34 years,All causes,Low physical activity,Rate,2021,0.147347569,0.341145724,0.036720495
Deaths,China,Male,35-39 years,All causes,Low physical activity,Rate,2021,0.236825473,0.710422446,0.018821662
Deaths,China,Female,35-39 years,All causes,Low physical activity,Rate,2021,0.276185445,0.693874699,0.049723916
Deaths,China,Both,35-39 years,All causes,Low physical activity,Rate,2021,0.255991196,0.561064428,0.070297825
Deaths,China,Male,40-44 years,All causes,Low physical activity,Rate,2021,0.479921099,1.416238455,0.057555253
Deaths,China,Female,40-44 years,All causes,Low physical activity,Rate,2021,0.580413839,1.449662864,0.14625668
Deaths,China,Both,40-44 years,All causes,Low physical activity,Rate,2021,0.528895617,1.143601798,0.145973483
Deaths,China,Male,45-49 years,All causes,Low physical activity,Rate,2021,0.912994944,2.57824365,0.127365158
Deaths,China,Female,45-49 years,All causes,Low physical activity,Rate,2021,0.982860441,2.276223338,0.221883907
Deaths,China,Both,45-49 years,All causes,Low physical activity,Rate,2021,0.947357288,2.098209789,0.264759462
Deaths,China,Male,50-54 years,All causes,Low physical activity,Rate,2021,1.962183026,5.034337705,0.370722246
Deaths,China,Female,50-54 years,All causes,Low physical activity,Rate,2021,2.153618787,4.908234353,0.61729553
Deaths,China,Both,50-54 years,All causes,Low physical activity,Rate,2021,2.056773888,4.135019599,0.639756406
Deaths,China,Male,55-59 years,All causes,Low physical activity,Rate,2021,4.00238757,11.23126908,0.704948281
Deaths,China,Female,55-59 years,All causes,Low physical activity,Rate,2021,4.785262744,10.51792395,1.260977469
Deaths,China,Both,55-59 years,All causes,Low physical activity,Rate,2021,4.394449125,9.354100045,1.358518131
Deaths,China,Male,60-64 years,All causes,Low physical activity,Rate,2021,9.084412479,22.12429962,1.602152521
Deaths,China,Female,60-64 years,All causes,Low physical activity,Rate,2021,10.43975646,20.39591167,3.008618126
Deaths,China,Both,60-64 years,All causes,Low physical activity,Rate,2021,9.759805346,18.60499161,2.890086771
Deaths,China,Male,65-69 years,All causes,Low physical activity,Rate,2021,18.21150956,40.1342315,5.108578539
Deaths,China,Female,65-69 years,All causes,Low physical activity,Rate,2021,20.59886113,41.88395417,6.529671818
Deaths,China,Both,65-69 years,All causes,Low physical activity,Rate,2021,19.42422325,34.75896233,7.330487946
Deaths,China,Male,70-74 years,All causes,Low physical activity,Rate,2021,38.86844084,88.43214729,11.05532872
Deaths,China,Female,70-74 years,All causes,Low physical activity,Rate,2021,45.50789327,89.249831,14.55338167
Deaths,China,Both,70-74 years,All causes,Low physical activity,Rate,2021,42.2867974,76.00140264,15.27657967
Deaths,China,Male,75-79 years,All causes,Low physical activity,Rate,2021,68.04845399,153.2385722,18.79118567
Deaths,China,Female,75-79 years,All causes,Low physical activity,Rate,2021,78.54250092,165.6305059,25.2473676
Deaths,China,Both,75-79 years,All causes,Low physical activity,Rate,2021,73.59872378,145.1721507,29.41983565
Deaths,China,Male,80-84 years,All causes,Low physical activity,Rate,2021,132.2119335,329.7676131,12.81911498
Deaths,China,Female,80-84 years,All causes,Low physical activity,Rate,2021,149.2568635,326.8875532,36.49548557
Deaths,China,Both,80-84 years,All causes,Low physical activity,Rate,2021,141.7858944,297.1375028,36.08036929
Deaths,China,Male,85-89 years,All causes,Low physical activity,Rate,2021,304.9900719,738.5647271,29.48924553
Deaths,China,Female,85-89 years,All causes,Low physical activity,Rate,2021,241.4119837,538.5577857,55.90853192
Deaths,China,Both,85-89 years,All causes,Low physical activity,Rate,2021,264.6447915,561.2719763,65.95213942
Deaths,China,Male,90-94 years,All causes,Low physical activity,Rate,2021,526.8923542,1241.548487,77.20728417
Deaths,China,Female,90-94 years,All causes,Low physical activity,Rate,2021,404.0754038,916.703865,96.32682644
Deaths,China,Both,90-94 years,All causes,Low physical activity,Rate,2021,437.9563834,920.3043736,116.5019856
Deaths,China,Male,95+ years,All causes,Low physical activity,Rate,2021,511.644455,1196.627038,93.11983427
Deaths,China,Female,95+ years,All causes,Low physical activity,Rate,2021,603.8135855,1340.956113,151.7367497
Deaths,China,Both,95+ years,All causes,Low physical activity,Rate,2021,586.3713991,1237.608913,176.8306367
