measure,location,sex,age,cause,rei,metric,year,val,upper,lower
Deaths,Global,Male,95+ years,All causes,Low physical activity,Rate,2021,295.1744387538,533.98003367135,106.53631770028
Deaths,Global,Female,95+ years,All causes,Low physical activity,Rate,2021,485.70260370445,874.8211237303301,166.16513150363002
Deaths,Global,Both,95+ years,All causes,Low physical activity,Rate,2021,432.84567719967,777.05420123082,147.19961018231
Deaths,China,Male,25-29 years,All causes,Low physical activity,Rate,2021,0.06416679296,0.18628714386,0.00694866416
Deaths,China,Female,25-29 years,All causes,Low physical activity,Rate,2021,0.07285473264,0.18152001358,0.016181264860000003
Deaths,China,Both,25-29 years,All causes,Low physical activity,Rate,2021,0.06827220168,0.15583571228999998,0.01867885184
Deaths,China,Male,30-34 years,All causes,Low physical activity,Rate,2021,0.14483469870000001,0.42788691615,0.01528819887
Deaths,China,Female,30-34 years,All causes,Low physical activity,Rate,2021,0.15004155935,0.35611374454,0.02949004852
Deaths,China,Both,30-34 years,All causes,Low physical activity,Rate,2021,0.14734756886,0.34114572366,0.03672049518
Deaths,China,Male,35-39 years,All causes,Low physical activity,Rate,2021,0.2368254728,0.71042244579,0.01882166156
Deaths,China,Female,35-39 years,All causes,Low physical activity,Rate,2021,0.27618544517,0.69387469855,0.04972391601
Deaths,China,Both,35-39 years,All causes,Low physical activity,Rate,2021,0.25599119567,0.56106442799,0.07029782479999999
Deaths,China,Male,40-44 years,All causes,Low physical activity,Rate,2021,0.4799210991,1.41623845527,0.0575552529
Deaths,China,Female,40-44 years,All causes,Low physical activity,Rate,2021,0.5804138387700001,1.44966286423,0.14625668046
Deaths,China,Both,40-44 years,All causes,Low physical activity,Rate,2021,0.52889561722,1.1436017978700002,0.14597348315
Deaths,China,Male,45-49 years,All causes,Low physical activity,Rate,2021,0.9129949435300001,2.57824365046,0.12736515794
Deaths,China,Female,45-49 years,All causes,Low physical activity,Rate,2021,0.98286044112,2.27622333817,0.22188390721999998
Deaths,China,Both,45-49 years,All causes,Low physical activity,Rate,2021,0.94735728774,2.09820978887,0.26475946226999997
Deaths,China,Male,50-54 years,All causes,Low physical activity,Rate,2021,1.9621830257200001,5.03433770535,0.37072224609
Deaths,China,Female,50-54 years,All causes,Low physical activity,Rate,2021,2.15361878699,4.90823435307,0.61729553007
Deaths,China,Both,50-54 years,All causes,Low physical activity,Rate,2021,2.05677388823,4.1350195991500005,0.63975640594
Deaths,China,Male,55-59 years,All causes,Low physical activity,Rate,2021,4.00238757006,11.23126907879,0.70494828121
Deaths,China,Female,55-59 years,All causes,Low physical activity,Rate,2021,4.78526274402,10.51792395071,1.26097746898
Deaths,China,Both,55-59 years,All causes,Low physical activity,Rate,2021,4.39444912471,9.35410004492,1.35851813094
Deaths,China,Male,60-64 years,All causes,Low physical activity,Rate,2021,9.08441247899,22.12429961588,1.6021525207399998
Deaths,China,Female,60-64 years,All causes,Low physical activity,Rate,2021,10.43975646362,20.39591167419,3.00861812638
Deaths,China,Both,60-64 years,All causes,Low physical activity,Rate,2021,9.75980534553,18.60499161096,2.89008677104
Deaths,China,Male,65-69 years,All causes,Low physical activity,Rate,2021,18.211509559310002,40.13423149662,5.10857853945
Deaths,China,Female,65-69 years,All causes,Low physical activity,Rate,2021,20.59886113076,41.8839541693,6.529671817910001
Deaths,China,Both,65-69 years,All causes,Low physical activity,Rate,2021,19.42422324522,34.75896232735,7.330487946350001
Deaths,China,Male,70-74 years,All causes,Low physical activity,Rate,2021,38.86844084178,88.43214729464,11.05532872176
Deaths,China,Female,70-74 years,All causes,Low physical activity,Rate,2021,45.50789326999,89.24983099944,14.55338167427
Deaths,China,Both,70-74 years,All causes,Low physical activity,Rate,2021,42.28679739518,76.00140263898,15.27657966578
Deaths,China,Male,75-79 years,All causes,Low physical activity,Rate,2021,68.04845398849,153.23857219209,18.7911856682
Deaths,China,Female,75-79 years,All causes,Low physical activity,Rate,2021,78.54250092187999,165.63050591764,25.24736759989
Deaths,China,Both,75-79 years,All causes,Low physical activity,Rate,2021,73.59872377856,145.17215066466,29.41983564609
Deaths,China,Male,80-84 years,All causes,Low physical activity,Rate,2021,132.21193345837,329.76761314155,12.81911497602
Deaths,China,Female,80-84 years,All causes,Low physical activity,Rate,2021,149.25686348905,326.88755317329,36.495485567269995
Deaths,China,Both,80-84 years,All causes,Low physical activity,Rate,2021,141.7858943576,297.13750275312003,36.08036929406
Deaths,China,Male,85-89 years,All causes,Low physical activity,Rate,2021,304.99007193579,738.56472711806,29.489245525210002
Deaths,China,Female,85-89 years,All causes,Low physical activity,Rate,2021,241.41198371161002,538.55778574452,55.90853191968
Deaths,China,Both,85-89 years,All causes,Low physical activity,Rate,2021,264.64479150958,561.2719763213,65.95213941981
Deaths,China,Male,90-94 years,All causes,Low physical activity,Rate,2021,526.89235417494,1241.54848680145,77.20728416722
Deaths,China,Female,90-94 years,All causes,Low physical activity,Rate,2021,404.07540384142004,916.7038650217601,96.32682644437999
Deaths,China,Both,90-94 years,All causes,Low physical activity,Rate,2021,437.95638337521,920.3043735683,116.50198561545999
Deaths,Global,Male,25-29 years,All causes,Low physical activity,Rate,2021,0.08592580601,0.14265071314,0.03954933049
Deaths,Global,Female,25-29 years,All causes,Low physical activity,Rate,2021,0.13633670142,0.21829168153,0.06237658907
Deaths,Global,Both,25-29 years,All causes,Low physical activity,Rate,2021,0.11085841066,0.17220614901,0.05350795131
Deaths,Global,Male,30-34 years,All causes,Low physical activity,Rate,2021,0.17970331816,0.29849459767,0.07748753393999999
