measure,location,sex,age,cause,rei,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),China,Male,25-29 years,All causes,Low physical activity,Rate,2021,11.18873331,35.72517919,1.028578252
DALYs (Disability-Adjusted Life Years),China,Female,25-29 years,All causes,Low physical activity,Rate,2021,19.46622482,47.18710418,4.387741908
DALYs (Disability-Adjusted Life Years),China,Both,25-29 years,All causes,Low physical activity,Rate,2021,15.1001884,32.63411328,4.547887332
DALYs (Disability-Adjusted Life Years),China,Male,30-34 years,All causes,Low physical activity,Rate,2021,17.52355333,53.40293681,1.909791243
DALYs (Disability-Adjusted Life Years),China,Female,30-34 years,All causes,Low physical activity,Rate,2021,27.39967766,66.22808004,5.085542588
DALYs (Disability-Adjusted Life Years),China,Both,30-34 years,All causes,Low physical activity,Rate,2021,22.28984531,50.69659659,6.048978821
DALYs (Disability-Adjusted Life Years),China,Male,35-39 years,All causes,Low physical activity,Rate,2021,22.69595706,68.60107698,1.63952082
DALYs (Disability-Adjusted Life Years),China,Female,35-39 years,All causes,Low physical activity,Rate,2021,35.91795841,91.48139578,6.827323946
DALYs (Disability-Adjusted Life Years),China,Both,35-39 years,All causes,Low physical activity,Rate,2021,29.1342038,65.04094311,7.990142368
DALYs (Disability-Adjusted Life Years),China,Male,40-44 years,All causes,Low physical activity,Rate,2021,36.77642634,116.6450447,4.168643999
DALYs (Disability-Adjusted Life Years),China,Female,40-44 years,All causes,Low physical activity,Rate,2021,55.6703248,125.9264433,14.22644535
DALYs (Disability-Adjusted Life Years),China,Both,40-44 years,All causes,Low physical activity,Rate,2021,45.98425146,101.2836316,12.58356894
DALYs (Disability-Adjusted Life Years),China,Male,45-49 years,All causes,Low physical activity,Rate,2021,61.36197157,174.6573488,8.255752046
DALYs (Disability-Adjusted Life Years),China,Female,45-49 years,All causes,Low physical activity,Rate,2021,79.88471107,184.1386513,18.56241055
DALYs (Disability-Adjusted Life Years),China,Both,45-49 years,All causes,Low physical activity,Rate,2021,70.47211567,154.546004,19.97242187
DALYs (Disability-Adjusted Life Years),China,Male,50-54 years,All causes,Low physical activity,Rate,2021,110.1777123,271.5850838,19.42578735
DALYs (Disability-Adjusted Life Years),China,Female,50-54 years,All causes,Low physical activity,Rate,2021,139.7815367,301.2703141,41.74973749
DALYs (Disability-Adjusted Life Years),China,Both,50-54 years,All causes,Low physical activity,Rate,2021,124.8053412,247.6723498,38.32664368
DALYs (Disability-Adjusted Life Years),China,Male,55-59 years,All causes,Low physical activity,Rate,2021,192.5166357,526.7038751,35.72913924
DALYs (Disability-Adjusted Life Years),China,Female,55-59 years,All causes,Low physical activity,Rate,2021,259.2713249,532.6343089,69.90795149
DALYs (Disability-Adjusted Life Years),China,Both,55-59 years,All causes,Low physical activity,Rate,2021,225.9471852,455.3272888,71.58568493
DALYs (Disability-Adjusted Life Years),China,Male,60-64 years,All causes,Low physical activity,Rate,2021,352.0681619,824.5657728,62.81304749
DALYs (Disability-Adjusted Life Years),China,Female,60-64 years,All causes,Low physical activity,Rate,2021,447.746694,889.4536739,129.365383
DALYs (Disability-Adjusted Life Years),China,Both,60-64 years,All causes,Low physical activity,Rate,2021,399.7465364,743.8548132,118.0950344
DALYs (Disability-Adjusted Life Years),China,Male,65-69 years,All causes,Low physical activity,Rate,2021,578.8991872,1283.579016,160.4061423
