measure,location,sex,age,cause,rei,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),Global,Male,70-74 years,All causes,Low physical activity,Rate,2021,1051.776827,1709.519892,449.3375577
DALYs (Disability-Adjusted Life Years),Global,Female,70-74 years,All causes,Low physical activity,Rate,2021,1296.733724,2025.74557,585.1328196
DALYs (Disability-Adjusted Life Years),Global,Both,70-74 years,All causes,Low physical activity,Rate,2021,1182.024092,1853.354537,534.9714214
DALYs (Disability-Adjusted Life Years),Global,Male,75-79 years,All causes,Low physical activity,Rate,2021,1297.095581,2203.710275,548.3532318
DALYs (Disability-Adjusted Life Years),Global,Female,75-79 years,All causes,Low physical activity,Rate,2021,1659.429574,2796.916563,708.286277
DALYs (Disability-Adjusted Life Years),Global,Both,75-79 years,All causes,Low physical activity,Rate,2021,1495.173897,2430.55037,663.1510422
DALYs (Disability-Adjusted Life Years),Global,Male,80-84 years,All causes,Low physical activity,Rate,2021,1661.080065,3110.476013,569.0280101
DALYs (Disability-Adjusted Life Years),Global,Female,80-84 years,All causes,Low physical activity,Rate,2021,2154.020825,3855.790317,783.7846803
DALYs (Disability-Adjusted Life Years),Global,Both,80-84 years,All causes,Low physical activity,Rate,2021,1947.734388,3433.075187,711.1517833
DALYs (Disability-Adjusted Life Years),Global,Male,85-89 years,All causes,Low physical activity,Rate,2021,2143.320217,4034.209047,706.0734688
DALYs (Disability-Adjusted Life Years),Global,Female,85-89 years,All causes,Low physical activity,Rate,2021,2509.907029,4580.617506,843.6748365
DALYs (Disability-Adjusted Life Years),Global,Both,85-89 years,All causes,Low physical activity,Rate,2021,2371.57917,4279.05646,810.9395069
DALYs (Disability-Adjusted Life Years),Global,Male,90-94 years,All causes,Low physical activity,Rate,2021,2651.896901,4904.511125,934.3714627
DALYs (Disability-Adjusted Life Years),Global,Female,90-94 years,All causes,Low physical activity,Rate,2021,3300.727848,6074.856748,1147.335027
DALYs (Disability-Adjusted Life Years),Global,Both,90-94 years,All causes,Low physical activity,Rate,2021,3089.333608,5589.214166,1085.323057
DALYs (Disability-Adjusted Life Years),Global,Male,95+ years,All causes,Low physical activity,Rate,2021,2708.308557,4849.957343,1022.635632
DALYs (Disability-Adjusted Life Years),Global,Female,95+ years,All causes,Low physical activity,Rate,2021,4283.921693,7694.244809,1473.191715
DALYs (Disability-Adjusted Life Years),Global,Both,95+ years,All causes,Low physical activity,Rate,2021,3846.81011,6936.188393,1352.033064
DALYs (Disability-Adjusted Life Years),Global,Male,25-29 years,All causes,Low physical activity,Rate,2021,9.809744928,16.69416987,4.365990217
DALYs (Disability-Adjusted Life Years),Global,Female,25-29 years,All causes,Low physical activity,Rate,2021,17.91603995,27.63386692,8.65893613
DALYs (Disability-Adjusted Life Years),Global,Both,25-29 years,All causes,Low physical activity,Rate,2021,13.81901807,21.59013104,6.610022995
DALYs (Disability-Adjusted Life Years),Global,Male,30-34 years,All causes,Low physical activity,Rate,2021,17.46029602,29.55253779,7.346682657
DALYs (Disability-Adjusted Life Years),Global,Female,30-34 years,All causes,Low physical activity,Rate,2021,29.51558295,47.59985935,13.64902643
DALYs (Disability-Adjusted Life Years),Global,Both,30-34 years,All causes,Low physical activity,Rate,2021,23.42194305,36.65268214,10.69292145
DALYs (Disability-Adjusted Life Years),Global,Male,35-39 years,All causes,Low physical activity,Rate,2021,30.37667807,50.06305676,13.90360191
DALYs (Disability-Adjusted Life Years),Global,Female,35-39 years,All causes,Low physical activity,Rate,2021,47.89003065,76.79278472,21.82995707
DALYs (Disability-Adjusted Life Years),Global,Both,35-39 years,All causes,Low physical activity,Rate,2021,39.0512212,60.3873187,17.88423237
DALYs (Disability-Adjusted Life Years),Global,Male,40-44 years,All causes,Low physical activity,Rate,2021,55.98432875,90.61277309,25.87012947
DALYs (Disability-Adjusted Life Years),Global,Female,40-44 years,All causes,Low physical activity,Rate,2021,85.28856258,137.0062738,38.50704131
DALYs (Disability-Adjusted Life Years),Global,Both,40-44 years,All causes,Low physical activity,Rate,2021,70.51720572,108.606443,33.23514009
DALYs (Disability-Adjusted Life Years),Global,Male,45-49 years,All causes,Low physical activity,Rate,2021,99.69927143,155.879243,45.82667148
DALYs (Disability-Adjusted Life Years),Global,Female,45-49 years,All causes,Low physical activity,Rate,2021,150.180702,231.7193858,66.98349184
DALYs (Disability-Adjusted Life Years),Global,Both,45-49 years,All causes,Low physical activity,Rate,2021,124.8216751,189.7178779,57.31262076
DALYs (Disability-Adjusted Life Years),Global,Male,50-54 years,All causes,Low physical activity,Rate,2021,174.4990276,289.7038788,80.04313216
DALYs (Disability-Adjusted Life Years),Global,Female,50-54 years,All causes,Low physical activity,Rate,2021,240.3231216,382.5310918,105.6084252
DALYs (Disability-Adjusted Life Years),Global,Both,50-54 years,All causes,Low physical activity,Rate,2021,207.4822473,324.5989221,94.53230117
DALYs (Disability-Adjusted Life Years),Global,Male,55-59 years,All causes,Low physical activity,Rate,2021,295.1823186,492.8036062,131.9431004
DALYs (Disability-Adjusted Life Years),Global,Female,55-59 years,All causes,Low physical activity,Rate,2021,400.2296077,627.1773106,173.9715341
DALYs (Disability-Adjusted Life Years),Global,Both,55-59 years,All causes,Low physical activity,Rate,2021,348.5393595,550.3523392,163.2437515
DALYs (Disability-Adjusted Life Years),Global,Male,60-64 years,All causes,Low physical activity,Rate,2021,506.4599535,812.8899095,224.1824092
DALYs (Disability-Adjusted Life Years),Global,Female,60-64 years,All causes,Low physical activity,Rate,2021,631.4570093,952.6033893,262.742399
DALYs (Disability-Adjusted Life Years),Global,Both,60-64 years,All causes,Low physical activity,Rate,2021,570.7109149,874.7322781,246.4624975
DALYs (Disability-Adjusted Life Years),Global,Male,65-69 years,All causes,Low physical activity,Rate,2021,723.4994111,1143.598461,311.0002368
DALYs (Disability-Adjusted Life Years),Global,Female,65-69 years,All causes,Low physical activity,Rate,2021,888.1237472,1383.118349,397.6681445
DALYs (Disability-Adjusted Life Years),Global,Both,65-69 years,All causes,Low physical activity,Rate,2021,809.444842,1245.886117,366.4299916
DALYs (Disability-Adjusted Life Years),China,Male,25-29 years,All causes,Low physical activity,Rate,2021,11.18873331,35.72517919,1.028578252
DALYs (Disability-Adjusted Life Years),China,Female,25-29 years,All causes,Low physical activity,Rate,2021,19.46622482,47.18710418,4.387741908
DALYs (Disability-Adjusted Life Years),China,Both,25-29 years,All causes,Low physical activity,Rate,2021,15.1001884,32.63411328,4.547887332
DALYs (Disability-Adjusted Life Years),China,Male,30-34 years,All causes,Low physical activity,Rate,2021,17.52355333,53.40293681,1.909791243
DALYs (Disability-Adjusted Life Years),China,Female,30-34 years,All causes,Low physical activity,Rate,2021,27.39967766,66.22808004,5.085542588
DALYs (Disability-Adjusted Life Years),China,Both,30-34 years,All causes,Low physical activity,Rate,2021,22.28984531,50.69659659,6.048978821
DALYs (Disability-Adjusted Life Years),China,Male,35-39 years,All causes,Low physical activity,Rate,2021,22.69595706,68.60107698,1.63952082
DALYs (Disability-Adjusted Life Years),China,Female,35-39 years,All causes,Low physical activity,Rate,2021,35.91795841,91.48139578,6.827323946
DALYs (Disability-Adjusted Life Years),China,Both,35-39 years,All causes,Low physical activity,Rate,2021,29.1342038,65.04094311,7.990142368
DALYs (Disability-Adjusted Life Years),China,Male,40-44 years,All causes,Low physical activity,Rate,2021,36.77642634,116.6450447,4.168643999
DALYs (Disability-Adjusted Life Years),China,Female,40-44 years,All causes,Low physical activity,Rate,2021,55.6703248,125.9264433,14.22644535
DALYs (Disability-Adjusted Life Years),China,Both,40-44 years,All causes,Low physical activity,Rate,2021,45.98425146,101.2836316,12.58356894
DALYs (Disability-Adjusted Life Years),China,Male,45-49 years,All causes,Low physical activity,Rate,2021,61.36197157,174.6573488,8.255752046
DALYs (Disability-Adjusted Life Years),China,Female,45-49 years,All causes,Low physical activity,Rate,2021,79.88471107,184.1386513,18.56241055
DALYs (Disability-Adjusted Life Years),China,Both,45-49 years,All causes,Low physical activity,Rate,2021,70.47211567,154.546004,19.97242187
DALYs (Disability-Adjusted Life Years),China,Male,50-54 years,All causes,Low physical activity,Rate,2021,110.1777123,271.5850838,19.42578735
DALYs (Disability-Adjusted Life Years),China,Female,50-54 years,All causes,Low physical activity,Rate,2021,139.7815367,301.2703141,41.74973749
DALYs (Disability-Adjusted Life Years),China,Both,50-54 years,All causes,Low physical activity,Rate,2021,124.8053412,247.6723498,38.32664368
DALYs (Disability-Adjusted Life Years),China,Male,55-59 years,All causes,Low physical activity,Rate,2021,192.5166357,526.7038751,35.72913924
DALYs (Disability-Adjusted Life Years),China,Female,55-59 years,All causes,Low physical activity,Rate,2021,259.2713249,532.6343089,69.90795149
DALYs (Disability-Adjusted Life Years),China,Both,55-59 years,All causes,Low physical activity,Rate,2021,225.9471852,455.3272888,71.58568493
DALYs (Disability-Adjusted Life Years),China,Male,60-64 years,All causes,Low physical activity,Rate,2021,352.0681619,824.5657728,62.81304749
DALYs (Disability-Adjusted Life Years),China,Female,60-64 years,All causes,Low physical activity,Rate,2021,447.746694,889.4536739,129.365383
DALYs (Disability-Adjusted Life Years),China,Both,60-64 years,All causes,Low physical activity,Rate,2021,399.7465364,743.8548132,118.0950344
DALYs (Disability-Adjusted Life Years),China,Male,65-69 years,All causes,Low physical activity,Rate,2021,578.8991872,1283.579016,160.4061423
DALYs (Disability-Adjusted Life Years),China,Female,65-69 years,All causes,Low physical activity,Rate,2021,702.3114719,1401.310473,232.8011191
DALYs (Disability-Adjusted Life Years),China,Both,65-69 years,All causes,Low physical activity,Rate,2021,641.589479,1155.193486,235.966312
DALYs (Disability-Adjusted Life Years),China,Male,70-74 years,All causes,Low physical activity,Rate,2021,967.9401992,2145.897734,259.7262913
DALYs (Disability-Adjusted Life Years),China,Female,70-74 years,All causes,Low physical activity,Rate,2021,1174.805024,2216.889017,383.3655838
DALYs (Disability-Adjusted Life Years),China,Both,70-74 years,All causes,Low physical activity,Rate,2021,1074.445628,1928.143689,394.7198265
DALYs (Disability-Adjusted Life Years),China,Male,75-79 years,All causes,Low physical activity,Rate,2021,1319.197726,2940.849499,382.8570351
DALYs (Disability-Adjusted Life Years),China,Female,75-79 years,All causes,Low physical activity,Rate,2021,1545.660655,3152.215842,518.2398089
