measure,location,sex,age,cause,rei,metric,year,val,upper,lower
Deaths,China,Male,25-29 years,All causes,Low physical activity,Rate,2021,0.064166793,0.186287144,0.006948664
Deaths,China,Female,25-29 years,All causes,Low physical activity,Rate,2021,0.072854733,0.181520014,0.016181265
Deaths,China,Both,25-29 years,All causes,Low physical activity,Rate,2021,0.068272202,0.155835712,0.018678852
Deaths,China,Male,30-34 years,All causes,Low physical activity,Rate,2021,0.144834699,0.427886916,0.015288199
Deaths,China,Female,30-34 years,All causes,Low physical activity,Rate,2021,0.150041559,0.356113745,0.029490049
Deaths,China,Both,30-34 years,All causes,Low physical activity,Rate,2021,0.147347569,0.341145724,0.036720495
Deaths,China,Male,35-39 years,All causes,Low physical activity,Rate,2021,0.236825473,0.710422446,0.018821662
Deaths,China,Female,35-39 years,All causes,Low physical activity,Rate,2021,0.276185445,0.693874699,0.049723916
Deaths,China,Both,35-39 years,All causes,Low physical activity,Rate,2021,0.255991196,0.561064428,0.070297825
Deaths,China,Male,40-44 years,All causes,Low physical activity,Rate,2021,0.479921099,1.416238455,0.057555253
Deaths,China,Female,40-44 years,All causes,Low physical activity,Rate,2021,0.580413839,1.449662864,0.14625668
Deaths,China,Both,40-44 years,All causes,Low physical activity,Rate,2021,0.528895617,1.143601798,0.145973483
Deaths,China,Male,45-49 years,All causes,Low physical activity,Rate,2021,0.912994944,2.57824365,0.127365158
Deaths,China,Female,45-49 years,All causes,Low physical activity,Rate,2021,0.982860441,2.276223338,0.221883907
Deaths,China,Both,45-49 years,All causes,Low physical activity,Rate,2021,0.947357288,2.098209789,0.264759462
Deaths,China,Male,50-54 years,All causes,Low physical activity,Rate,2021,1.962183026,5.034337705,0.370722246
Deaths,China,Female,50-54 years,All causes,Low physical activity,Rate,2021,2.153618787,4.908234353,0.61729553
Deaths,China,Both,50-54 years,All causes,Low physical activity,Rate,2021,2.056773888,4.135019599,0.639756406
Deaths,China,Male,55-59 years,All causes,Low physical activity,Rate,2021,4.00238757,11.23126908,0.704948281
Deaths,China,Female,55-59 years,All causes,Low physical activity,Rate,2021,4.785262744,10.51792395,1.260977469
Deaths,China,Both,55-59 years,All causes,Low physical activity,Rate,2021,4.394449125,9.354100045,1.358518131
Deaths,China,Male,60-64 years,All causes,Low physical activity,Rate,2021,9.084412479,22.12429962,1.602152521
Deaths,China,Female,60-64 years,All causes,Low physical activity,Rate,2021,10.43975646,20.39591167,3.008618126
Deaths,China,Both,60-64 years,All causes,Low physical activity,Rate,2021,9.759805346,18.60499161,2.890086771
Deaths,China,Male,65-69 years,All causes,Low physical activity,Rate,2021,18.21150956,40.1342315,5.108578539
Deaths,China,Female,65-69 years,All causes,Low physical activity,Rate,2021,20.59886113,41.88395417,6.529671818
Deaths,China,Both,65-69 years,All causes,Low physical activity,Rate,2021,19.42422325,34.75896233,7.330487946
Deaths,China,Male,70-74 years,All causes,Low physical activity,Rate,2021,38.86844084,88.43214729,11.05532872
Deaths,China,Female,70-74 years,All causes,Low physical activity,Rate,2021,45.50789327,89.249831,14.55338167
Deaths,China,Both,70-74 years,All causes,Low physical activity,Rate,2021,42.2867974,76.00140264,15.27657967
Deaths,China,Male,75-79 years,All causes,Low physical activity,Rate,2021,68.04845399,153.2385722,18.79118567
Deaths,China,Female,75-79 years,All causes,Low physical activity,Rate,2021,78.54250092,165.6305059,25.2473676
Deaths,China,Both,75-79 years,All causes,Low physical activity,Rate,2021,73.59872378,145.1721507,29.41983565
Deaths,China,Male,80-84 years,All causes,Low physical activity,Rate,2021,132.2119335,329.7676131,12.81911498
Deaths,China,Female,80-84 years,All causes,Low physical activity,Rate,2021,149.2568635,326.8875532,36.49548557
Deaths,China,Both,80-84 years,All causes,Low physical activity,Rate,2021,141.7858944,297.1375028,36.08036929
Deaths,China,Male,85-89 years,All causes,Low physical activity,Rate,2021,304.9900719,738.5647271,29.48924553
Deaths,China,Female,85-89 years,All causes,Low physical activity,Rate,2021,241.4119837,538.5577857,55.90853192
Deaths,China,Both,85-89 years,All causes,Low physical activity,Rate,2021,264.6447915,561.2719763,65.95213942
Deaths,China,Male,90-94 years,All causes,Low physical activity,Rate,2021,526.8923542,1241.548487,77.20728417
Deaths,China,Female,90-94 years,All causes,Low physical activity,Rate,2021,404.0754038,916.703865,96.32682644
Deaths,China,Both,90-94 years,All causes,Low physical activity,Rate,2021,437.9563834,920.3043736,116.5019856
Deaths,China,Male,95+ years,All causes,Low physical activity,Rate,2021,511.644455,1196.627038,93.11983427
Deaths,China,Female,95+ years,All causes,Low physical activity,Rate,2021,603.8135855,1340.956113,151.7367497
Deaths,China,Both,95+ years,All causes,Low physical activity,Rate,2021,586.3713991,1237.608913,176.8306367
Deaths,Global,Male,95+ years,All causes,Low physical activity,Rate,2021,295.1744388,533.9800337,106.5363177
Deaths,Global,Female,95+ years,All causes,Low physical activity,Rate,2021,485.7026037,874.8211237,166.1651315
Deaths,Global,Both,95+ years,All causes,Low physical activity,Rate,2021,432.8456772,777.0542012,147.1996102
Deaths,Global,Male,25-29 years,All causes,Low physical activity,Rate,2021,0.085925806,0.142650713,0.03954933
Deaths,Global,Female,25-29 years,All causes,Low physical activity,Rate,2021,0.136336701,0.218291682,0.062376589
Deaths,Global,Both,25-29 years,All causes,Low physical activity,Rate,2021,0.110858411,0.172206149,0.053507951
Deaths,Global,Male,30-34 years,All causes,Low physical activity,Rate,2021,0.179703318,0.298494598,0.077487534
Deaths,Global,Female,30-34 years,All causes,Low physical activity,Rate,2021,0.262104966,0.416284421,0.12840737
Deaths,Global,Both,30-34 years,All causes,Low physical activity,Rate,2021,0.220453036,0.349596241,0.107774904
Deaths,Global,Male,35-39 years,All causes,Low physical activity,Rate,2021,0.359071173,0.594402343,0.157756748
Deaths,Global,Female,35-39 years,All causes,Low physical activity,Rate,2021,0.507400461,0.810085669,0.231057248
Deaths,Global,Both,35-39 years,All causes,Low physical activity,Rate,2021,0.432540191,0.676029366,0.197304352
Deaths,Global,Male,40-44 years,All causes,Low physical activity,Rate,2021,0.779422954,1.300133335,0.363442039
Deaths,Global,Female,40-44 years,All causes,Low physical activity,Rate,2021,1.091820142,1.733696198,0.49449821
Deaths,Global,Both,40-44 years,All causes,Low physical activity,Rate,2021,0.934350393,1.446066246,0.447027941
Deaths,Global,Male,45-49 years,All causes,Low physical activity,Rate,2021,1.591733542,2.447057828,0.752507132
Deaths,Global,Female,45-49 years,All causes,Low physical activity,Rate,2021,2.272069053,3.514222364,1.03287625
Deaths,Global,Both,45-49 years,All causes,Low physical activity,Rate,2021,1.930306818,2.905637692,0.91027803
Deaths,Global,Male,50-54 years,All causes,Low physical activity,Rate,2021,3.255019662,5.364475329,1.4154838
Deaths,Global,Female,50-54 years,All causes,Low physical activity,Rate,2021,4.212992027,6.684711435,1.911909294
Deaths,Global,Both,50-54 years,All causes,Low physical activity,Rate,2021,3.735041657,5.746668361,1.729299087
Deaths,Global,Male,55-59 years,All causes,Low physical activity,Rate,2021,6.422608804,10.76510872,2.829030585
Deaths,Global,Female,55-59 years,All causes,Low physical activity,Rate,2021,8.211454016,12.97633556,3.534737687
Deaths,Global,Both,55-59 years,All causes,Low physical activity,Rate,2021,7.331223276,11.5217828,3.486914698
Deaths,Global,Male,60-64 years,All causes,Low physical activity,Rate,2021,13.31977898,21.77743895,6.027319387
Deaths,Global,Female,60-64 years,All causes,Low physical activity,Rate,2021,15.60073329,23.87317958,6.628142254
Deaths,Global,Both,60-64 years,All causes,Low physical activity,Rate,2021,14.49223465,22.55688648,6.14707568
Deaths,Global,Male,65-69 years,All causes,Low physical activity,Rate,2021,22.77340051,37.23812667,9.589490646
Deaths,Global,Female,65-69 years,All causes,Low physical activity,Rate,2021,26.75033153,42.43898967,12.23453958
Deaths,Global,Both,65-69 years,All causes,Low physical activity,Rate,2021,24.84963698,38.81625305,11.47920374
Deaths,Global,Male,70-74 years,All causes,Low physical activity,Rate,2021,41.15285716,67.18156716,17.22575062
Deaths,Global,Female,70-74 years,All causes,Low physical activity,Rate,2021,49.79111359,78.528149,22.32808989
Deaths,Global,Both,70-74 years,All causes,Low physical activity,Rate,2021,45.74594797,71.95720047,20.5069514
Deaths,Global,Male,75-79 years,All causes,Low physical activity,Rate,2021,64.21840084,109.1308095,27.17381012
Deaths,Global,Female,75-79 years,All causes,Low physical activity,Rate,2021,82.5552415,138.0024521,35.20721058
Deaths,Global,Both,75-79 years,All causes,Low physical activity,Rate,2021,74.24266186,121.812697,31.64368029
Deaths,Global,Male,80-84 years,All causes,Low physical activity,Rate,2021,108.3993662,205.8461724,34.70872803
Deaths,Global,Female,80-84 years,All causes,Low physical activity,Rate,2021,143.2430117,262.348615,50.1157943
Deaths,Global,Both,80-84 years,All causes,Low physical activity,Rate,2021,128.6616013,227.3568548,45.03566728
Deaths,Global,Male,85-89 years,All causes,Low physical activity,Rate,2021,185.1598414,356.4845773,58.86114744
Deaths,Global,Female,85-89 years,All causes,Low physical activity,Rate,2021,216.4873942,403.6629287,73.44795892
Deaths,Global,Both,85-89 years,All causes,Low physical activity,Rate,2021,204.6662562,368.9676162,69.24486559
Deaths,Global,Male,90-94 years,All causes,Low physical activity,Rate,2021,271.2276712,513.0738128,88.79971709
Deaths,Global,Female,90-94 years,All causes,Low physical activity,Rate,2021,340.7358757,631.3369119,115.5734867
Deaths,Global,Both,90-94 years,All causes,Low physical activity,Rate,2021,318.0895544,579.4165047,107.9728738
