measure,location,sex,age,cause,rei,metric,year,val,upper,lower
Deaths,China,Male,95+ years,Tuberculosis,Low physical activity,Rate,2021,0.21428744049,0.52032829973,0.05382062662
Deaths,China,Female,95+ years,Tuberculosis,Low physical activity,Rate,2021,0.26072255113000004,0.5892545743800001,0.07224110711
Deaths,China,Male,80-84 years,Ischemic heart disease,Low physical activity,Rate,2021,58.1783923392,134.41196468243,13.269442220380002
Deaths,China,Female,80-84 years,Ischemic heart disease,Low physical activity,Rate,2021,81.35941354473,173.88086860081,24.941392373279996
Deaths,China,Male,85-89 years,Ischemic heart disease,Low physical activity,Rate,2021,148.30552474952,344.30520215725,33.4267547998
Deaths,China,Female,85-89 years,Ischemic heart disease,Low physical activity,Rate,2021,146.24907685709,321.08739436195003,43.2383938491
Deaths,China,Male,90-94 years,Ischemic heart disease,Low physical activity,Rate,2021,287.14294119018,655.46787805779,65.71220538762
Deaths,China,Female,90-94 years,Ischemic heart disease,Low physical activity,Rate,2021,272.87122042436,589.0506428822,81.6620389235
Deaths,China,Male,95+ years,Ischemic heart disease,Low physical activity,Rate,2021,308.84109477296,741.7929760964299,67.74570146437999
Deaths,China,Female,95+ years,Ischemic heart disease,Low physical activity,Rate,2021,431.9801235688,952.3149292172701,126.52420981471
Deaths,China,Male,25-29 years,Colon and rectum cancer,Low physical activity,Rate,2021,0.01454243492,0.05486129136,0.00078634972
Deaths,China,Female,25-29 years,Colon and rectum cancer,Low physical activity,Rate,2021,0.0160686903,0.044267126840000004,0.0028422856
Deaths,China,Male,30-34 years,Colon and rectum cancer,Low physical activity,Rate,2021,0.03338149252,0.12049999255999999,0.00224825843
Deaths,China,Female,30-34 years,Colon and rectum cancer,Low physical activity,Rate,2021,0.03135887586,0.08667872987,0.0046640436
Deaths,China,Male,35-39 years,Colon and rectum cancer,Low physical activity,Rate,2021,0.04690412805,0.16677311886,0.00169388943
Deaths,China,Female,35-39 years,Colon and rectum cancer,Low physical activity,Rate,2021,0.04876165683,0.13448021182,0.007518029810000001
Deaths,China,Male,40-44 years,Colon and rectum cancer,Low physical activity,Rate,2021,0.07750811005,0.28085294397,0.00535306485
Deaths,China,Female,40-44 years,Colon and rectum cancer,Low physical activity,Rate,2021,0.09403799510000001,0.26228843467,0.01790393718
Deaths,China,Male,45-49 years,Colon and rectum cancer,Low physical activity,Rate,2021,0.14865698191,0.51240355123,0.01240009753
Deaths,China,Female,45-49 years,Colon and rectum cancer,Low physical activity,Rate,2021,0.14473859149999999,0.37095570838999997,0.03473734198
Deaths,China,Male,50-54 years,Colon and rectum cancer,Low physical activity,Rate,2021,0.29377669719,0.8812816938,0.02919911643
Deaths,China,Female,50-54 years,Colon and rectum cancer,Low physical activity,Rate,2021,0.31110915376,0.72813059133,0.08063376648000001
Deaths,China,Male,55-59 years,Colon and rectum cancer,Low physical activity,Rate,2021,0.62708498692,1.9436276208399998,0.09169493105
Deaths,China,Female,55-59 years,Colon and rectum cancer,Low physical activity,Rate,2021,0.66860537822,1.4597132268800002,0.19868896388
Deaths,China,Male,60-64 years,Colon and rectum cancer,Low physical activity,Rate,2021,1.30686185927,3.3208115876899997,0.17480888185000001
Deaths,China,Female,60-64 years,Colon and rectum cancer,Low physical activity,Rate,2021,1.33067257304,2.6434734574500003,0.38397028092999996
Deaths,China,Male,65-69 years,Colon and rectum cancer,Low physical activity,Rate,2021,2.5559892846500003,5.765960504290001,0.62993141999
Deaths,China,Female,65-69 years,Colon and rectum cancer,Low physical activity,Rate,2021,2.43739987347,4.69872615282,0.8614453981300001
Deaths,China,Male,95+ years,Chronic kidney disease,Low physical activity,Rate,2021,46.12382927835,88.41374863623001,16.12032983843
Deaths,China,Female,95+ years,Chronic kidney disease,Low physical activity,Rate,2021,31.823448488380002,59.00984171863,11.89302604343
Deaths,China,Male,25-29 years,Stroke,Low physical activity,Rate,2021,0.0229142367,0.05945583745,0.0029021840599999997
Deaths,China,Female,25-29 years,Stroke,Low physical activity,Rate,2021,0.021183007179999998,0.04666596628,0.0061708616
Deaths,China,Male,30-34 years,Stroke,Low physical activity,Rate,2021,0.05397591706,0.13843674105,0.006535884
Deaths,China,Female,30-34 years,Stroke,Low physical activity,Rate,2021,0.03895964165,0.08200706661,0.00974798445
Deaths,China,Male,35-39 years,Stroke,Low physical activity,Rate,2021,0.09531816956,0.25275093641,0.00846853324
Deaths,China,Female,35-39 years,Stroke,Low physical activity,Rate,2021,0.0814571678,0.17900043181,0.019567492529999998
Deaths,China,Male,40-44 years,Stroke,Low physical activity,Rate,2021,0.22040284239,0.62127386009,0.0309526751
Deaths,China,Female,40-44 years,Stroke,Low physical activity,Rate,2021,0.18181736434999998,0.39748928667,0.050178211589999994
Deaths,China,Male,45-49 years,Stroke,Low physical activity,Rate,2021,0.43222315465,1.10215206054,0.07000039413
Deaths,China,Female,45-49 years,Stroke,Low physical activity,Rate,2021,0.32246799602000004,0.6760723212299999,0.08626079309
Deaths,China,Male,50-54 years,Stroke,Low physical activity,Rate,2021,0.9913628318600001,2.38105773169,0.20486833423
Deaths,China,Female,50-54 years,Stroke,Low physical activity,Rate,2021,0.75778390006,1.58091006453,0.24681313025
Deaths,China,Male,55-59 years,Stroke,Low physical activity,Rate,2021,2.0079834072700002,5.02965572957,0.38213371739999996
Deaths,China,Female,55-59 years,Stroke,Low physical activity,Rate,2021,1.73181738331,3.51646588313,0.5522507118200001
Deaths,China,Male,60-64 years,Stroke,Low physical activity,Rate,2021,4.87850806579,11.00615215345,0.9699427101600001
Deaths,China,Female,60-64 years,Stroke,Low physical activity,Rate,2021,4.0336290001399995,7.57584453515,1.2416751247
Deaths,China,Male,65-69 years,Stroke,Low physical activity,Rate,2021,9.43892953408,20.11121198996,2.7446555517499998
Deaths,China,Female,65-69 years,Stroke,Low physical activity,Rate,2021,7.97859695937,15.473527753960001,2.6402803603700002
Deaths,China,Male,70-74 years,Stroke,Low physical activity,Rate,2021,19.3574824185,42.14475361359,5.00820688017
Deaths,China,Female,70-74 years,Stroke,Low physical activity,Rate,2021,17.264681670690003,33.87723670863,4.83184837455
Deaths,China,Male,75-79 years,Stroke,Low physical activity,Rate,2021,28.672664525459997,70.78519834564999,1.1699114452200001
Deaths,China,Female,75-79 years,Stroke,Low physical activity,Rate,2021,25.14946235516,58.76416780045,1.2486032357499999
Deaths,China,Male,80-84 years,Stroke,Low physical activity,Rate,2021,30.35474957577,139.36643547599002,-68.88932063523
Deaths,China,Female,80-84 years,Stroke,Low physical activity,Rate,2021,26.13271953148,115.04273876113,-60.3717546109
Deaths,China,Male,85-89 years,Stroke,Low physical activity,Rate,2021,69.27844839724,314.55362880183003,-162.50562411453
Deaths,China,Female,85-89 years,Stroke,Low physical activity,Rate,2021,41.09208060554,183.86343071316,-95.59956299085
Deaths,China,Male,90-94 years,Stroke,Low physical activity,Rate,2021,104.254287206,472.2604851516,-236.78598009518
Deaths,China,Female,90-94 years,Stroke,Low physical activity,Rate,2021,60.24152759353,266.8303346054,-138.44377864175
Deaths,China,Male,40-44 years,Lower extremity peripheral arterial disease,Low physical activity,Rate,2021,0.00040107984,0.0012672561999999999,5.004521e-05
Deaths,China,Female,40-44 years,Lower extremity peripheral arterial disease,Low physical activity,Rate,2021,0.00037163778,0.00098505301,7.051631000000001e-05
Deaths,China,Male,45-49 years,Lower extremity peripheral arterial disease,Low physical activity,Rate,2021,0.00064726534,0.0018254762899999998,0.00011040572
Deaths,China,Female,45-49 years,Lower extremity peripheral arterial disease,Low physical activity,Rate,2021,0.00048747528999999994,0.00114619045,8.902071e-05
Deaths,China,Male,50-54 years,Lower extremity peripheral arterial disease,Low physical activity,Rate,2021,0.00118715448,0.00308651544,0.00018059407
Deaths,China,Female,50-54 years,Lower extremity peripheral arterial disease,Low physical activity,Rate,2021,0.00079477058,0.00184668301,0.00019843137
Deaths,China,Male,55-59 years,Lower extremity peripheral arterial disease,Low physical activity,Rate,2021,0.00205271082,0.00529596971,0.0003285944
Deaths,China,Female,55-59 years,Lower extremity peripheral arterial disease,Low physical activity,Rate,2021,0.00172533898,0.00416909968,0.00039662853999999995
Deaths,China,Male,60-64 years,Lower extremity peripheral arterial disease,Low physical activity,Rate,2021,0.00392257901,0.01046531658,0.0006852150099999999
Deaths,China,Female,60-64 years,Lower extremity peripheral arterial disease,Low physical activity,Rate,2021,0.00276675495,0.006139092390000001,0.0006830531100000001
Deaths,China,Male,65-69 years,Lower extremity peripheral arterial disease,Low physical activity,Rate,2021,0.00909439802,0.023087462569999998,0.0019688028
Deaths,China,Female,65-69 years,Lower extremity peripheral arterial disease,Low physical activity,Rate,2021,0.00487522218,0.01118054754,0.00124430777
