measure,location,age,rei,metric,year,val
DALYs (Disability-Adjusted Life Years),Global,Age-standardized,Low physical activity,Rate,1990,209.5100824
DALYs (Disability-Adjusted Life Years),Global,Age-standardized,Low physical activity,Rate,1991,208.2944191
DALYs (Disability-Adjusted Life Years),Global,Age-standardized,Low physical activity,Rate,1992,208.2539619
DALYs (Disability-Adjusted Life Years),Global,Age-standardized,Low physical activity,Rate,1993,209.6943428
DALYs (Disability-Adjusted Life Years),Global,Age-standardized,Low physical activity,Rate,1994,209.5586653
DALYs (Disability-Adjusted Life Years),Global,Age-standardized,Low physical activity,Rate,1995,208.5348845
DALYs (Disability-Adjusted Life Years),Global,Age-standardized,Low physical activity,Rate,1996,206.2478131
DALYs (Disability-Adjusted Life Years),Global,Age-standardized,Low physical activity,Rate,1997,203.9245161
DALYs (Disability-Adjusted Life Years),Global,Age-standardized,Low physical activity,Rate,1998,202.5086901
DALYs (Disability-Adjusted Life Years),Global,Age-standardized,Low physical activity,Rate,1999,201.3468546
DALYs (Disability-Adjusted Life Years),Global,Age-standardized,Low physical activity,Rate,2000,199.9115023
DALYs (Disability-Adjusted Life Years),Global,Age-standardized,Low physical activity,Rate,2001,199.0750463
DALYs (Disability-Adjusted Life Years),Global,Age-standardized,Low physical activity,Rate,2002,198.7812258
DALYs (Disability-Adjusted Life Years),Global,Age-standardized,Low physical activity,Rate,2003,198.9050428
DALYs (Disability-Adjusted Life Years),Global,Age-standardized,Low physical activity,Rate,2004,196.2159892
DALYs (Disability-Adjusted Life Years),Global,Age-standardized,Low physical activity,Rate,2005,194.4879109
DALYs (Disability-Adjusted Life Years),Global,Age-standardized,Low physical activity,Rate,2006,190.4007553
DALYs (Disability-Adjusted Life Years),Global,Age-standardized,Low physical activity,Rate,2007,188.2128024
DALYs (Disability-Adjusted Life Years),Global,Age-standardized,Low physical activity,Rate,2008,187.6235539
DALYs (Disability-Adjusted Life Years),Global,Age-standardized,Low physical activity,Rate,2009,186.0648101
DALYs (Disability-Adjusted Life Years),Global,Age-standardized,Low physical activity,Rate,2010,185.3354545
DALYs (Disability-Adjusted Life Years),Global,Age-standardized,Low physical activity,Rate,2011,184.2425852
DALYs (Disability-Adjusted Life Years),Global,Age-standardized,Low physical activity,Rate,2012,183.1811708
DALYs (Disability-Adjusted Life Years),Global,Age-standardized,Low physical activity,Rate,2013,182.4653601
DALYs (Disability-Adjusted Life Years),Global,Age-standardized,Low physical activity,Rate,2014,182.0378349
DALYs (Disability-Adjusted Life Years),Global,Age-standardized,Low physical activity,Rate,2015,182.0226511
DALYs (Disability-Adjusted Life Years),Global,Age-standardized,Low physical activity,Rate,2016,182.3385589
DALYs (Disability-Adjusted Life Years),Global,Age-standardized,Low physical activity,Rate,2017,182.1911168
DALYs (Disability-Adjusted Life Years),Global,Age-standardized,Low physical activity,Rate,2018,182.9217531
DALYs (Disability-Adjusted Life Years),Global,Age-standardized,Low physical activity,Rate,2019,183.3683873
DALYs (Disability-Adjusted Life Years),Global,Age-standardized,Low physical activity,Rate,2020,183.4438748
DALYs (Disability-Adjusted Life Years),Global,Age-standardized,Low physical activity,Rate,2021,184.1748922
DALYs (Disability-Adjusted Life Years),China,Age-standardized,Low physical activity,Rate,1990,168.9297578
DALYs (Disability-Adjusted Life Years),China,Age-standardized,Low physical activity,Rate,1991,167.5098697
DALYs (Disability-Adjusted Life Years),China,Age-standardized,Low physical activity,Rate,1992,166.8977142
DALYs (Disability-Adjusted Life Years),China,Age-standardized,Low physical activity,Rate,1993,166.4777116
DALYs (Disability-Adjusted Life Years),China,Age-standardized,Low physical activity,Rate,1994,165.5504051
DALYs (Disability-Adjusted Life Years),China,Age-standardized,Low physical activity,Rate,1995,164.8087019
DALYs (Disability-Adjusted Life Years),China,Age-standardized,Low physical activity,Rate,1996,163.5265981
DALYs (Disability-Adjusted Life Years),China,Age-standardized,Low physical activity,Rate,1997,161.9375332
DALYs (Disability-Adjusted Life Years),China,Age-standardized,Low physical activity,Rate,1998,162.5236993
DALYs (Disability-Adjusted Life Years),China,Age-standardized,Low physical activity,Rate,1999,163.9647255
DALYs (Disability-Adjusted Life Years),China,Age-standardized,Low physical activity,Rate,2000,167.986018
DALYs (Disability-Adjusted Life Years),China,Age-standardized,Low physical activity,Rate,2001,170.7592852
DALYs (Disability-Adjusted Life Years),China,Age-standardized,Low physical activity,Rate,2002,172.9752879
DALYs (Disability-Adjusted Life Years),China,Age-standardized,Low physical activity,Rate,2003,179.6299547
DALYs (Disability-Adjusted Life Years),China,Age-standardized,Low physical activity,Rate,2004,183.5337588
DALYs (Disability-Adjusted Life Years),China,Age-standardized,Low physical activity,Rate,2005,181.8962772
DALYs (Disability-Adjusted Life Years),China,Age-standardized,Low physical activity,Rate,2006,171.798567
