measure,location,sex,age,cause,rei,metric,year,val,upper,lower
Deaths,Global,Both,Age-standardized,All causes,Low physical activity,Rate,1990,10.38650248904,17.07982696378,4.20930644236
Deaths,Global,Both,Age-standardized,All causes,Low physical activity,Rate,1991,10.28102845075,16.9965743284,4.18747553847
Deaths,Global,Both,Age-standardized,All causes,Low physical activity,Rate,1992,10.25080189176,17.00808362152,4.1818540794
Deaths,Global,Both,Age-standardized,All causes,Low physical activity,Rate,1993,10.31323461168,17.04916761986,4.2233701550900005
Deaths,Global,Both,Age-standardized,All causes,Low physical activity,Rate,1994,10.27321470342,16.957015847570002,4.20814949419
Deaths,Global,Both,Age-standardized,All causes,Low physical activity,Rate,1995,10.211894729940001,16.98818781944,4.185307228969999
Deaths,Global,Both,Age-standardized,All causes,Low physical activity,Rate,1996,10.064673146239999,16.66103630899,4.13724251763
Deaths,Global,Both,Age-standardized,All causes,Low physical activity,Rate,1997,9.89641808406,16.299161177760002,4.05539565559
Deaths,Global,Both,Age-standardized,All causes,Low physical activity,Rate,1998,9.796198015089999,16.09143081738,4.03497392748
Deaths,Global,Both,Age-standardized,All causes,Low physical activity,Rate,1999,9.72010119841,15.93198739473,3.9584465139300002
Deaths,Global,Both,Age-standardized,All causes,Low physical activity,Rate,2000,9.62015668223,15.771504675740001,3.9382992866300004
Deaths,Global,Both,Age-standardized,All causes,Low physical activity,Rate,2001,9.568253222000001,15.50141677064,3.89017246079
Deaths,Global,Both,Age-standardized,All causes,Low physical activity,Rate,2002,9.55106561069,15.53558930878,3.88203176623
Deaths,Global,Both,Age-standardized,All causes,Low physical activity,Rate,2003,9.5581082416,15.557663548519999,3.80536623103
Deaths,Global,Both,Age-standardized,All causes,Low physical activity,Rate,2004,9.37818988539,15.227394671330002,3.74942808651
Deaths,Global,Both,Age-standardized,All causes,Low physical activity,Rate,2005,9.2565488887,15.01257280243,3.6781787844799996
Deaths,Global,Both,Age-standardized,All causes,Low physical activity,Rate,2006,8.99585524599,14.420168529720002,3.6031755416499998
Deaths,Global,Both,Age-standardized,All causes,Low physical activity,Rate,2007,8.86562537703,14.38238173768,3.58684503972
Deaths,Global,Both,Age-standardized,All causes,Low physical activity,Rate,2008,8.82298609267,14.317234584940001,3.59478002511
Deaths,Global,Both,Age-standardized,All causes,Low physical activity,Rate,2009,8.708541008,14.18863943036,3.52764434461
Deaths,Global,Both,Age-standardized,All causes,Low physical activity,Rate,2010,8.63828464507,14.028436006080002,3.55305459527
Deaths,Global,Both,Age-standardized,All causes,Low physical activity,Rate,2011,8.538880350400001,13.795151213830001,3.5089526097999997
