measure,sex,metric,year,val,upper,lower
Deaths,Male,Number,1990,17838.72796,31808.92063,6456.694606
Deaths,Female,Number,1990,31043.33993,53452.41712,13277.7268
Deaths,Male,Number,1991,18406.1358,33036.33873,6431.528679
Deaths,Female,Number,1991,31554.22375,54387.78215,13207.38625
Deaths,Male,Number,1992,19006.3214,34238.79371,7438.456092
Deaths,Female,Number,1992,32331.56405,56481.24107,13653.65026
Deaths,Male,Number,1993,19617.11992,34404.41249,7310.658388
Deaths,Female,Number,1993,33210.23924,56671.8292,13808.56222
Deaths,Male,Number,1994,20068.05622,35158.8047,7333.045701
Deaths,Female,Number,1994,34092.73124,58641.43238,14589.28308
Deaths,Male,Number,1995,20805.42484,37330.72076,7466.060253
Deaths,Female,Number,1995,34863.13375,59023.91205,14445.02434
Deaths,Male,Number,1996,21376.79131,37641.90122,7962.102113
Deaths,Female,Number,1996,35643.4941,62288.27936,15719.14118
Deaths,Male,Number,1997,21918.17818,38257.14624,7710.538993
Deaths,Female,Number,1997,36401.07765,63667.39072,15766.5413
Deaths,Male,Number,1998,22724.08752,39189.10517,8501.02155
Deaths,Female,Number,1998,37876.1287,66293.55966,16246.57861
Deaths,Male,Number,1999,23656.81149,41639.88748,8901.294131
Deaths,Female,Number,1999,39771.25037,70206.51177,16938.04526
Deaths,Male,Number,2000,25351.06586,45045.93029,9650.936234
Deaths,Female,Number,2000,42241.11459,73143.22144,17856.65925
Deaths,Male,Number,2001,26822.65697,46912.35845,10142.63423
Deaths,Female,Number,2001,44483.62308,78219.37432,18084.06425
Deaths,Male,Number,2002,28281.37679,49575.35536,10196.13114
Deaths,Female,Number,2002,46491.60118,80903.90852,19766.07541
Deaths,Male,Number,2003,30570.40822,53410.97081,11475.98282
Deaths,Female,Number,2003,49949.94816,87374.6622,20075.24208
Deaths,Male,Number,2004,32583.04148,58496.87552,11207.19595
Deaths,Female,Number,2004,52850.7497,91806.13278,22456.98461
Deaths,Male,Number,2005,33361.13401,59425.68514,11948.54048
Deaths,Female,Number,2005,54138.48129,96245.88195,21776.27821
Deaths,Male,Number,2006,32351.39045,57447.08168,12310.84323
Deaths,Female,Number,2006,52533.30894,91433.52829,20931.93724
Deaths,Male,Number,2007,33095.8539,57883.95866,12414.19707
