measure,location,sex,age,cause,rei,metric,year,val,upper,lower
Deaths,China,Male,Age-standardized,All causes,Low physical activity,Rate,1990,7.10870916761,13.69012707048,2.0431125578600002
Deaths,China,Female,Age-standardized,All causes,Low physical activity,Rate,1990,9.371208798,17.12857218347,3.65410340389
Deaths,China,Male,Age-standardized,All causes,Low physical activity,Rate,1991,7.09925768348,14.01207698946,2.06142041344
Deaths,China,Female,Age-standardized,All causes,Low physical activity,Rate,1991,9.22855841339,16.49922995975,3.5167167287299996
Deaths,China,Male,Age-standardized,All causes,Low physical activity,Rate,1992,7.107450072410001,14.039972508830001,2.13813514004
Deaths,China,Female,Age-standardized,All causes,Low physical activity,Rate,1992,9.16025379465,16.76423929594,3.5913044395600004
Deaths,China,Male,Age-standardized,All causes,Low physical activity,Rate,1993,7.12709568866,13.511541433229999,2.09825771293
Deaths,China,Female,Age-standardized,All causes,Low physical activity,Rate,1993,9.12990667015,16.231818351620003,3.50111457173
Deaths,China,Male,Age-standardized,All causes,Low physical activity,Rate,1994,7.0937740384,13.448766779009999,2.2078921302300003
Deaths,China,Female,Age-standardized,All causes,Low physical activity,Rate,1994,9.10390925569,16.6265516977,3.42520656554
Deaths,China,Male,Age-standardized,All causes,Low physical activity,Rate,1995,7.13889881778,13.78747216739,2.13947485347
Deaths,China,Female,Age-standardized,All causes,Low physical activity,Rate,1995,9.0476451783,15.976547888,3.53973800101
Deaths,China,Male,Age-standardized,All causes,Low physical activity,Rate,1996,7.13639223819,13.66336476528,2.1246643557000002
Deaths,China,Female,Age-standardized,All causes,Low physical activity,Rate,1996,8.98447161249,16.45237056096,3.4974530115299998
Deaths,China,Male,Age-standardized,All causes,Low physical activity,Rate,1997,7.092549139190001,14.00049297149,2.09617820171
Deaths,China,Female,Age-standardized,All causes,Low physical activity,Rate,1997,8.91060251509,16.25377553047,3.28009996757
Deaths,China,Male,Age-standardized,All causes,Low physical activity,Rate,1998,7.15494801251,14.08424226168,2.07418338292
Deaths,China,Female,Age-standardized,All causes,Low physical activity,Rate,1998,8.99761435916,16.47199459586,3.37034923214
Deaths,China,Male,Age-standardized,All causes,Low physical activity,Rate,1999,7.24258365406,14.17895837503,2.0211690079899998
Deaths,China,Female,Age-standardized,All causes,Low physical activity,Rate,1999,9.15692884172,17.01769816475,3.34648363506
Deaths,China,Male,Age-standardized,All causes,Low physical activity,Rate,2000,7.5634883210999995,15.25630996265,2.23208837503
Deaths,China,Female,Age-standardized,All causes,Low physical activity,Rate,2000,9.46208047325,17.28114560934,3.45135942127
Deaths,China,Male,Age-standardized,All causes,Low physical activity,Rate,2001,7.80831087092,15.68587469061,2.1628890849
Deaths,China,Female,Age-standardized,All causes,Low physical activity,Rate,2001,9.7083172654,17.66680588827,3.3884798937399996
Deaths,China,Male,Age-standardized,All causes,Low physical activity,Rate,2002,8.00456927579,16.322356410180003,2.2396592442
Deaths,China,Female,Age-standardized,All causes,Low physical activity,Rate,2002,9.85125140802,17.636840201720002,3.5222474095500003
Deaths,China,Male,Age-standardized,All causes,Low physical activity,Rate,2003,8.68864768046,17.73885169667,2.59572658191
Deaths,China,Female,Age-standardized,All causes,Low physical activity,Rate,2003,10.3433007572,18.76840601904,3.77209719847
Deaths,China,Male,Age-standardized,All causes,Low physical activity,Rate,2004,9.04025491863,18.156863033460002,2.61053901782
Deaths,China,Female,Age-standardized,All causes,Low physical activity,Rate,2004,10.60564640118,19.053312494670003,3.7139067855400003
Deaths,China,Male,Age-standardized,All causes,Low physical activity,Rate,2005,8.9926109502,17.98194014098,2.77474246259
Deaths,China,Female,Age-standardized,All causes,Low physical activity,Rate,2005,10.53972814579,19.328743326450002,3.8143328734299997
Deaths,China,Male,Age-standardized,All causes,Low physical activity,Rate,2006,8.34720511854,16.54711754554,2.59052668763
Deaths,China,Female,Age-standardized,All causes,Low physical activity,Rate,2006,9.81463156242,17.57375101742,3.48610309411
Deaths,China,Male,Age-standardized,All causes,Low physical activity,Rate,2007,8.267623600910001,16.33158997081,2.60320655649
Deaths,China,Female,Age-standardized,All causes,Low physical activity,Rate,2007,9.46645225416,17.0301723517,3.3399148859900003
Deaths,China,Male,Age-standardized,All causes,Low physical activity,Rate,2008,8.37086076427,16.69474809748,2.51469059116
Deaths,China,Female,Age-standardized,All causes,Low physical activity,Rate,2008,9.46360026174,16.84437738826,3.4227494483400003
Deaths,China,Male,Age-standardized,All causes,Low physical activity,Rate,2009,8.608687880869999,17.45691488197,2.61583947234
Deaths,China,Female,Age-standardized,All causes,Low physical activity,Rate,2009,9.52331665154,17.449997129219998,3.3837154504199995
Deaths,China,Male,Age-standardized,All causes,Low physical activity,Rate,2010,8.76700764216,17.92363230161,2.56434674566
Deaths,China,Female,Age-standardized,All causes,Low physical activity,Rate,2010,9.6189389787,17.70740482957,3.4699405840399997
Deaths,China,Male,Age-standardized,All causes,Low physical activity,Rate,2011,8.71473735832,17.23204124444,2.57453605272
Deaths,China,Female,Age-standardized,All causes,Low physical activity,Rate,2011,9.62236207162,17.58838718884,3.3724078457
Deaths,China,Male,Age-standardized,All causes,Low physical activity,Rate,2012,8.63285960112,17.04626180137,2.59904245617
Deaths,China,Female,Age-standardized,All causes,Low physical activity,Rate,2012,9.16783988494,17.44596825003,3.31831216263
Deaths,China,Male,Age-standardized,All causes,Low physical activity,Rate,2013,8.644032717,17.3406531945,2.6889420450199997
Deaths,China,Female,Age-standardized,All causes,Low physical activity,Rate,2013,9.06175601842,17.13451570723,3.4079530374
Deaths,China,Male,Age-standardized,All causes,Low physical activity,Rate,2014,8.47781517932,16.8377928475,2.57226807302
Deaths,China,Female,Age-standardized,All causes,Low physical activity,Rate,2014,8.90438848696,16.21441557398,3.16978448803
Deaths,China,Male,Age-standardized,All causes,Low physical activity,Rate,2015,8.37150026174,17.06578885314,2.5883421161499998
Deaths,China,Female,Age-standardized,All causes,Low physical activity,Rate,2015,8.623807050749999,15.9835831255,3.1041044770400004
Deaths,China,Male,Age-standardized,All causes,Low physical activity,Rate,2016,8.333787242,16.72167318065,2.74710940437
Deaths,China,Female,Age-standardized,All causes,Low physical activity,Rate,2016,8.53771052912,15.79369895838,3.00236290101
Deaths,China,Male,Age-standardized,All causes,Low physical activity,Rate,2017,8.231959905990001,16.61574942584,2.58439799062
Deaths,China,Female,Age-standardized,All causes,Low physical activity,Rate,2017,8.53746936107,16.20363234083,3.1610913391799995
Deaths,China,Male,Age-standardized,All causes,Low physical activity,Rate,2018,8.12717260787,16.61431088979,2.5452136901399998
Deaths,China,Female,Age-standardized,All causes,Low physical activity,Rate,2018,8.48230558222,15.378293664929998,3.09241915586
Deaths,China,Male,Age-standardized,All causes,Low physical activity,Rate,2019,8.1446844891,16.50231157078,2.48093050925
Deaths,China,Female,Age-standardized,All causes,Low physical activity,Rate,2019,8.42122730955,15.64547434413,3.0193770788300003
Deaths,China,Male,Age-standardized,All causes,Low physical activity,Rate,2020,8.18696253351,17.433817498539998,2.6357493678000004
Deaths,China,Female,Age-standardized,All causes,Low physical activity,Rate,2020,8.35301839337,15.25999752433,3.0393846243200002
Deaths,China,Male,Age-standardized,All causes,Low physical activity,Rate,2021,8.223355643149999,16.55496559957,2.64839323618
Deaths,China,Female,Age-standardized,All causes,Low physical activity,Rate,2021,8.2918713123,16.00044694536,2.90447096524
DALYs (Disability-Adjusted Life Years),China,Male,Age-standardized,All causes,Low physical activity,Rate,1990,137.56978541077,246.81059057417,50.85499356897
DALYs (Disability-Adjusted Life Years),China,Female,Age-standardized,All causes,Low physical activity,Rate,1990,197.08227964649998,330.2582776454,82.59220834373001
DALYs (Disability-Adjusted Life Years),China,Male,Age-standardized,All causes,Low physical activity,Rate,1991,137.5060786321,241.53506810801,47.89240732576
DALYs (Disability-Adjusted Life Years),China,Female,Age-standardized,All causes,Low physical activity,Rate,1991,194.73198215996,326.26828731098,81.7680332086
DALYs (Disability-Adjusted Life Years),China,Male,Age-standardized,All causes,Low physical activity,Rate,1992,137.61571355681,248.70894443894,54.21073104612
DALYs (Disability-Adjusted Life Years),China,Female,Age-standardized,All causes,Low physical activity,Rate,1992,193.73641461811,327.07706590063003,83.10536335002999
DALYs (Disability-Adjusted Life Years),China,Male,Age-standardized,All causes,Low physical activity,Rate,1993,137.73758269569,241.34257656251998,51.179845548719996
DALYs (Disability-Adjusted Life Years),China,Female,Age-standardized,All causes,Low physical activity,Rate,1993,192.98622373309001,324.6197376638,84.2039388637
DALYs (Disability-Adjusted Life Years),China,Male,Age-standardized,All causes,Low physical activity,Rate,1994,136.74937330372998,239.33674161540998,50.48925442246
DALYs (Disability-Adjusted Life Years),China,Female,Age-standardized,All causes,Low physical activity,Rate,1994,192.2269257395,313.49244384792,83.07200020488
DALYs (Disability-Adjusted Life Years),China,Male,Age-standardized,All causes,Low physical activity,Rate,1995,137.11012989527,235.41480592086998,49.15392033203
