measure,location,sex,age,cause,rei,metric,year,val,upper,lower
Deaths,China,Male,95+ years,All causes,Low physical activity,Number,1990,23.685218964678747,53.13718499154205,4.283153022803936
Deaths,China,Female,95+ years,All causes,Low physical activity,Number,1990,197.39030439899597,424.8599631817359,41.65581884631106
Deaths,China,Male,95+ years,All causes,Low physical activity,Rate,1990,304.85838859865,683.94202372999,55.12953587639
Deaths,China,Female,95+ years,All causes,Low physical activity,Rate,1990,603.21886969431,1298.3593472292,127.29893718523
Deaths,China,Male,95+ years,All causes,Low physical activity,Number,1991,24.655596641982925,55.36270239525167,4.398973637883049
Deaths,China,Female,95+ years,All causes,Low physical activity,Number,1991,200.3979146839704,415.0818032970382,45.66492642691797
Deaths,China,Male,95+ years,All causes,Low physical activity,Rate,1991,305.68509486922,686.39802879855,54.53936862082
Deaths,China,Female,95+ years,All causes,Low physical activity,Rate,1991,592.6109643035201,1227.46800087525,135.03901039779
Deaths,China,Male,95+ years,All causes,Low physical activity,Number,1992,25.955476723072632,57.36719792751455,4.893737024796694
Deaths,China,Female,95+ years,All causes,Low physical activity,Number,1992,206.580279571026,437.1787155122443,48.553666503920034
Deaths,China,Male,95+ years,All causes,Low physical activity,Rate,1992,307.51741426027,679.67976694276,57.98041669554
Deaths,China,Female,95+ years,All causes,Low physical activity,Rate,1992,583.63523808556,1235.12711011799,137.17490734733
Deaths,China,Male,95+ years,All causes,Low physical activity,Number,1993,27.417715613992783,62.30218402095524,5.102951128912217
Deaths,China,Female,95+ years,All causes,Low physical activity,Number,1993,217.0510431121151,439.8000129459733,50.38369683657619
Deaths,China,Male,95+ years,All causes,Low physical activity,Rate,1993,307.74293172301,699.29446469166,57.27673169274
Deaths,China,Female,95+ years,All causes,Low physical activity,Rate,1993,579.40360656488,1174.01745697464,134.49599338762002
Deaths,China,Male,95+ years,All causes,Low physical activity,Number,1994,28.556625203002625,64.30702218089422,5.035617608876111
Deaths,China,Female,95+ years,All causes,Low physical activity,Number,1994,228.68433294150952,475.7364161231653,52.38665842569156
Deaths,China,Male,95+ years,All causes,Low physical activity,Rate,1994,306.2920364235,689.74287543077,54.01091904622
Deaths,China,Female,95+ years,All causes,Low physical activity,Rate,1994,577.81664825784,1202.04308656682,132.36535706494
Deaths,China,Male,95+ years,All causes,Low physical activity,Number,1995,30.95165173034572,72.83436000907561,5.099255938534698
Deaths,China,Female,95+ years,All causes,Low physical activity,Number,1995,245.74106197389375,504.13947260795135,57.73902247515139
Deaths,China,Male,95+ years,All causes,Low physical activity,Rate,1995,308.0387808697,724.86624164952,50.74910367735001
Deaths,China,Female,95+ years,All causes,Low physical activity,Rate,1995,573.94035689314,1177.4425751577,134.85233155526998
Deaths,China,Male,95+ years,All causes,Low physical activity,Number,1996,33.66419176230222,76.77210562184516,5.627139151294243
Deaths,China,Female,95+ years,All causes,Low physical activity,Number,1996,269.4239660008551,567.4116074311237,63.6878739067225
Deaths,China,Male,95+ years,All causes,Low physical activity,Rate,1996,309.83633272055,706.5901902253399,51.79070303115
Deaths,China,Female,95+ years,All causes,Low physical activity,Rate,1996,578.6448592824,1218.63624313266,136.78315771891
Deaths,China,Male,95+ years,All causes,Low physical activity,Number,1997,33.13743301327609,77.14681715953168,6.00837877497042
Deaths,China,Female,95+ years,All causes,Low physical activity,Number,1997,298.2271340937345,624.915591116302,73.22169595558628
Deaths,China,Male,95+ years,All causes,Low physical activity,Rate,1997,281.01489640733996,654.22704358411,50.952768077959995
Deaths,China,Female,95+ years,All causes,Low physical activity,Rate,1997,584.35621000269,1224.48048701544,143.47303731634
Deaths,China,Male,95+ years,All causes,Low physical activity,Number,1998,35.92515499188995,82.47411670403531,6.525961243444765
Deaths,China,Female,95+ years,All causes,Low physical activity,Number,1998,333.52743743368774,727.80199043007,80.47405659163883
