SortOrder,LocID,Notes,ISO3_code,ISO2_code,SDMX_code,LocTypeID,LocTypeName,ParentID,Location,VarID,Variant,Time,MidPeriod,AgeGrp,PopMale,PopFemale,PopTotal
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1950,1950,25-29,21225.3,19803.206,41028.506
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1950,1950,30-34,18787.382,17853.797,36641.179
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1950,1950,35-39,17384.641,16302.702,33687.343
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1950,1950,40-44,15661.982,15207.383,30869.365
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1950,1950,45-49,14001.655,13485.98,27487.635
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1950,1950,50-54,11550.269,10974.639,22524.908
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1950,1950,55-59,9890.213,9784.139,19674.352
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1950,1950,60-64,7968.109,8333.517,16301.626
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1950,1950,65-69,5626.264,6639.367,12265.631
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1950,1950,70-74,3123.405,4187.955,7311.36
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1950,1950,75-79,1886.961,2763.527,4650.488
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1950,1950,80-84,863.082,1499.295,2362.377
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1950,1950,85-89,274.874,583.417,858.291
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1950,1950,90-94,49.242,119.653,168.895
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1950,1950,95+,4.097,11.395,15.492
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1951,1951,25-29,21581.773,20068.173,41649.946
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1951,1951,30-34,18978.145,18030.213,37008.358
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1951,1951,35-39,17637.384,16543.899,34181.283
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1951,1951,40-44,15682.369,15188.753,30871.122
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1951,1951,45-49,14207.457,13807.628,28015.085
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1951,1951,50-54,11527.005,11058.093,22585.098
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1951,1951,55-59,9987.014,9934.809,19921.823
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1951,1951,60-64,7859.215,8262.741,16121.956
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1951,1951,65-69,5551.202,6551.127,12102.329
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1951,1951,70-74,3137.059,4231.03,7368.089
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1951,1951,75-79,1815.287,2698.244,4513.531
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1951,1951,80-84,822.733,1406.108,2228.841
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1951,1951,85-89,264.018,558.602,822.62
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1951,1951,90-94,48.753,123.485,172.238
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1951,1951,95+,4,12.37,16.37
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1952,1952,25-29,21794.881,20184.004,41978.885
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1952,1952,30-34,19205.109,18172.659,37377.768
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1952,1952,35-39,17915.085,16898.696,34813.781
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1952,1952,40-44,15679.533,15103.133,30782.666
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1952,1952,45-49,14305.646,14004.938,28310.584
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1952,1952,50-54,11677.476,11319.372,22996.848
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1952,1952,55-59,10026.478,10014.027,20040.505
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1952,1952,60-64,7765.489,8210.719,15976.208
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1952,1952,65-69,5493.531,6460.114,11953.645
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1952,1952,70-74,3194.56,4322.605,7517.165
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1952,1952,75-79,1744.159,2628.283,4372.442
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1952,1952,80-84,791.582,1332.602,2124.184
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1952,1952,85-89,252.574,528.643,781.217
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1952,1952,90-94,47.94,124.416,172.356
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1952,1952,95+,4.004,13.338,17.342
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1953,1953,25-29,22235.6,20487.645,42723.245
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1953,1953,30-34,19439.133,18341.749,37780.882
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1953,1953,35-39,18120.028,17174.978,35295.006
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1953,1953,40-44,15805.237,15150.635,30955.872
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1953,1953,45-49,14317.615,14084.558,28402.173
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1953,1953,50-54,11859.57,11625.998,23485.568
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1953,1953,55-59,10002.244,10003.964,20006.208
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1953,1953,60-64,7749.93,8238.218,15988.148
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1953,1953,65-69,5468.117,6414.489,11882.606
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1953,1953,70-74,3288.31,4451.307,7739.617
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1953,1953,75-79,1655.922,2532.68,4188.602
