Year,PredictedDeaths_Male,LowerCI_Male,UpperCI_Male,PredictedDeaths_Female,LowerCI_Female,UpperCI_Female
1990,711084.3046,707673.8157,714494.7936,1361794.945,1354558.779,1369031.11
1991,729974.7345,726694.1383,733255.3306,1366207.562,1359678.844,1372736.28
1992,749596.5832,746354.6704,752838.4961,1385036.133,1378696.141,1391376.126
1993,764502.4528,761301.9955,767702.9101,1397346.131,1391241.556,1403450.705
1994,775286.9808,772136.5562,778437.4054,1410128.291,1404347.637,1415908.946
1995,792909.9786,789778.6668,796041.2904,1417124.259,1411589.656,1422658.862
1996,805245.58,802135.1345,808356.0256,1425373.625,1420047.912,1430699.338
1997,815602.0106,812523.282,818680.7393,1433494.827,1428350.761,1438638.892
1998,830035.6555,826967.1312,833104.1797,1460154.331,1455113.277,1465195.384
1999,844858.7282,841803.7288,847913.7275,1493337.361,1488382.012,1498292.71
2000,876790.4666,873724.5145,879856.4188,1537810.006,1532880.88,1542739.131
2001,897571.8699,894508.1318,900635.608,1568486.543,1563613.799,1573359.288
2002,919327.6312,916261.1888,922394.0735,1595488.756,1590672.296,1600305.216
2003,957413.6872,954301.997,960525.3774,1658216.57,1653360.29,1663072.849
2004,983694.3479,980592.3266,986796.3692,1686055.382,1681339.466,1690771.298
2005,980710.6479,977653.7164,983767.5795,1672134.228,1667571.885,1676696.571
2006,939912.2213,936952.215,942872.2276,1596954.929,1592592.106,1601317.753
2007,943267.9377,940321.749,946214.1264,1576764.73,1572483.205,1581046.256
2008,973242.0721,970267.1502,976216.994,1596971.292,1592704.961,1601237.622
2009,1014361.162,1011347.02,1017375.304,1622051.792,1617819.752,1626283.832
2010,1050680.013,1047634.204,1053725.821,1652558.769,1648357.148,1656760.391
2011,1075827.637,1072764.434,1078890.84,1679891.666,1675712.375,1684070.957
2012,1105910.394,1102816.91,1109003.878,1664971.48,1660872.401,1669070.56
2013,1132283.541,1129165.303,1135401.779,1684329.579,1680234.813,1688424.345
2014,1144947.029,1141826.085,1148067.974,1698061.446,1693979.03,1702143.863
2015,1164759.682,1161631.071,1167888.293,1697895.13,1693871.188,1701919.071
2016,1191886.947,1188743.837,1195030.057,1727055.643,1723056.51,1731054.777
2017,1216096.72,1212943.311,1219250.128,1769515.576,1765516.924,1773514.229
2018,1230451.085,1227303.705,1233598.465,1795857.435,1791873.28,1799841.589
2019,1250396.658,1247255.583,1253537.732,1810852.437,1806912.832,1814792.041
2020,1267278.683,1264145.16,1270412.207,1815194.738,1811308.728,1819080.747
2021,1289871.265,1286731.707,1293010.822,1835341.265,1831473.687,1839208.842
2022,1327065.744,1249579.231,1404552.258,1824445.874,1752077.049,1896814.7
2023,1344272.322,1241547.616,1446997.028,1836251.65,1723730.794,1948772.505
2024,1360778.418,1224219.117,1497337.718,1847186.528,1683312.588,2011060.468
2025,1377242.553,1199767.231,1554717.876,1855982.356,1632422.382,2079542.33
2026,1394645.429,1169769.798,1619521.061,1864506.284,1573566.568,2155446
2027,1411496.169,1133288.542,1689703.795,1871667.184,1505740.032,2237594.337
2028,1428382.635,1091633.697,1765131.573,1879594.531,1432338.704,2326850.359
2029,1445397.502,1045273.864,1845521.14,1886754.58,1352902.596,2420606.564
2030,1463891.635,995197.1814,1932586.088,1893713.877,1268200.952,2519226.802
2031,1483627.251,940901.5788,2026352.924,1901697.954,1178785.125,2624610.782
2032,1505504.311,882551.5263,2128457.095,1912372.09,1084826.556,2739917.624
2033,1528840.47,819835.2894,2237845.652,1924703.818,986286.3934,2863121.243
2034,1553030.808,752402.0542,2353659.563,1935459.369,881862.5098,2989056.229
2035,1578234.25,680115.4264,2476353.074,1944901.184,772055.9356,3117746.432
