Year,PredictedDeaths_Male,LowerCI_Male,UpperCI_Male,PredictedDeaths_Female,LowerCI_Female,UpperCI_Female
1990,34372.51474,33600.37888,35144.65059,77349.45675,75458.25374,79240.65977
1991,35100.58393,34388.35126,35812.8166,76588.11501,75039.13732,78137.09269
1992,35869.12226,35180.90132,36557.34319,76449.16988,75057.34467,77840.99508
1993,36483.39763,35809.26919,37157.52607,76294.85228,75006.67811,77583.02644
1994,36957.29169,36292.23773,37622.34566,76313.67256,75099.65894,77527.68618
1995,37720.91013,37058.48445,38383.33582,76134.70955,74971.9273,77297.49181
1996,38321.42588,37659.55655,38983.2952,76230.92381,75100.61062,77361.237
1997,38889.05047,38226.63214,39551.46879,76601.90005,75493.23645,77710.56364
1998,39727.82753,39063.17023,40392.48484,78109.38794,77008.65514,79210.12075
1999,40593.85149,39928.52543,41259.17755,80111.98714,79015.13507,81208.83921
2000,42440.60486,41767.5746,43113.63512,82906.00524,81803.62377,84008.38672
2001,43812.37024,43136.05769,44488.68279,85190.0802,84083.52871,86296.6317
2002,45034.57221,44355.65643,45713.48798,86918.85148,85811.16858,88026.53439
2003,47535.01858,46840.12219,48229.91497,90704.72586,89578.777,91830.67472
2004,49056.51572,48358.70303,49754.32842,92324.0049,91214.14701,93433.86278
2005,48824.22993,48136.97895,49511.48092,91364.97525,90285.40485,92444.54565
2006,46201.57614,45541.37331,46861.77896,86151.05956,85122.08684,87180.03229
2007,46352.71563,45695.29834,47010.13292,84477.5017,83469.96734,85485.03605
2008,47992.22389,47327.33286,48657.11492,85835.28038,84828.23036,86842.33039
2009,50331.24251,49654.95774,51007.52728,87469.08718,86464.78972,88473.38464
2010,52380.14662,51695.11455,53065.17868,89435.23268,88432.87856,90437.58679
2011,53415.80186,52729.29722,54102.30651,90694.78336,89696.78398,91692.78274
2012,54648.34311,53957.58032,55339.10591,88754.37667,87780.26796,89728.48538
2013,56121.73382,55424.77986,56818.68778,89848.78188,88874.06943,90823.49433
2014,56608.39309,55912.59849,57304.18768,90486.10463,89512.76846,91459.4408
2015,57394.34341,56697.84118,58090.84564,89814.95945,88858.29457,90771.62433
2016,58539.75696,57840.66044,59238.85349,90930.90581,89982.37877,91879.43284
2017,59202.116,58503.50859,59900.7234,92727.38137,91781.42475,93673.33799
2018,59555.54676,58859.66879,60251.42474,93785.92915,92844.62128,94727.23702
2019,60438.80859,59744.39586,61133.22133,94233.87924,93305.14131,95162.61717
2020,61392.30516,60698.35422,62086.25611,94337.77605,93423.54222,95252.00988
2021,62406.90988,61706.50427,63107.31549,94809.40255,93892.40425,95726.40086
2022,63057.71099,59486.4677,66628.95428,95437.14815,91040.17715,99834.11914
2023,63598.35926,58295.49863,68901.21988,95720.36672,88241.19185,103199.5416
2024,64111.43206,56552.83208,71670.03204,95998.89584,84646.22198,107351.5697
2025,64574.33778,54360.14301,74788.53255,96131.92004,80325.10449,111938.7356
2026,65000.91375,51782.85092,78218.97658,96122.23243,75366.06906,116878.3958
2027,65315.10255,48789.10631,81841.09879,95880.64197,69738.99609,122022.2878
2028,65606.20529,45499.09671,85713.31388,95652.26737,63729.7714,127574.7633
2029,65909.17706,41963.45487,89854.89926,95460.82845,57400.74808,133520.9088
2030,66246.91504,38205.16176,94288.66833,95235.39047,50738.09799,139732.6829
2031,66580.19089,34197.06967,98963.31211,94944.02328,43740.02078,146148.0258
2032,66908.97175,29934.97686,103882.9666,94547.72145,36390.59981,152704.8431
2033,67239.4848,25441.2083,109037.7613,94120.96482,28781.16304,159460.7666
2034,67606.26068,20738.15892,114474.3624,93705.1051,20959.44944,166450.7608
2035,68013.66169,15823.25998,120204.0634,93266.22773,12937.94539,173594.5101
