measure,location,sex,age,cause,rei,metric,year,val,upper,lower
Deaths,China,Both,Age-standardized,All causes,Low physical activity,Rate,1990,8.382606476,14.9417061,3.178054457
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,1991,0.097877854,0.17804565,0.019605965
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,1992,0.099017704,0.182087738,0.020636501
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,1993,0.099487834,0.183862177,0.019982967
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,1994,0.100551855,0.181528737,0.019683315
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,1995,0.101543303,0.179885506,0.021376784
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,1996,0.101711985,0.184098348,0.021700171
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,1997,0.101377916,0.180859369,0.021405214
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,1998,0.101529683,0.182732001,0.021517937
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,1999,0.102658557,0.18474162,0.021476829
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,2000,0.1028973,0.191004819,0.021722305
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,2001,0.102228206,0.184844797,0.020950956
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,2002,0.09955664,0.17529249,0.021117819
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,2003,0.098282597,0.176890703,0.021125248
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,2004,0.098114661,0.175195486,0.019246497
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,2005,0.098012038,0.176495536,0.020669051
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,2006,0.095764497,0.173849348,0.019872391
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,2007,0.094830641,0.168109167,0.020451544
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,2008,0.093912953,0.170396757,0.019155715
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,2009,0.092622905,0.164460435,0.019151119
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,2010,0.092956293,0.167956873,0.018547885
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,2011,0.09335238,0.169525115,0.019335476
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,2012,0.090809402,0.166519662,0.017767331
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,2013,0.087231643,0.157266744,0.017817022
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,2014,0.085110525,0.157947906,0.016255014
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,2015,0.085155664,0.152116574,0.016726341
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,2016,0.086380575,0.156364645,0.017493787
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,2017,0.087678912,0.154502143,0.017317553
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,2018,0.089214984,0.162650317,0.018322629
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,2019,0.092066989,0.168178353,0.01790551
Deaths,China,Both,Age-standardized,Breast cancer,Low physical activity,Rate,2020,0.093537843,0.167223679,0.017963776
DALYs (Disability-Adjusted Life Years),China,Both,Age-standardized,All causes,Low physical activity,Rate,1990,168.9297578,276.6729471,70.81348365
Deaths,China,Both,Age-standardized,All causes,Low physical activity,Rate,2021,8.179379599,14.95022803,2.943189279
Deaths,China,Both,Age-standardized,Ischemic heart disease,Low physical activity,Rate,1991,2.828393982,5.129405987,1.151419592
Deaths,China,Both,Age-standardized,Ischemic heart disease,Low physical activity,Rate,1992,2.808084588,5.141190858,1.103853029
Deaths,China,Both,Age-standardized,Ischemic heart disease,Low physical activity,Rate,1993,2.80837953,5.021643536,1.106995871
Deaths,China,Both,Age-standardized,Ischemic heart disease,Low physical activity,Rate,1994,2.803584863,4.846425608,1.128031192
Deaths,China,Both,Age-standardized,Ischemic heart disease,Low physical activity,Rate,1995,2.804145012,4.919829836,1.109964988
Deaths,China,Both,Age-standardized,Ischemic heart disease,Low physical activity,Rate,1996,2.804600301,5.007817413,1.109115053
Deaths,China,Both,Age-standardized,Ischemic heart disease,Low physical activity,Rate,1997,2.813160914,4.903025935,1.099233304
Deaths,China,Both,Age-standardized,Ischemic heart disease,Low physical activity,Rate,1998,2.873915906,4.965573738,1.169929344
Deaths,China,Both,Age-standardized,Ischemic heart disease,Low physical activity,Rate,1999,2.95735504,5.117374787,1.198098416
