measure,location,sex,age,cause,rei,metric,year,val,upper,lower
Deaths,China,Female,Age-standardized,Breast cancer,Low physical activity,Rate,1990,0.181397925,0.344956981,0.036011135
Deaths,China,Female,Age-standardized,Breast cancer,Low physical activity,Rate,1991,0.182404552,0.328971764,0.036229171
Deaths,China,Female,Age-standardized,Breast cancer,Low physical activity,Rate,1992,0.184498299,0.341222713,0.038704405
Deaths,China,Female,Age-standardized,Breast cancer,Low physical activity,Rate,1993,0.185420191,0.342925966,0.037166755
Deaths,China,Female,Age-standardized,Breast cancer,Low physical activity,Rate,1994,0.187443366,0.33716131,0.037063099
Deaths,China,Female,Age-standardized,Breast cancer,Low physical activity,Rate,1995,0.189096078,0.333513931,0.039784834
Deaths,China,Female,Age-standardized,Breast cancer,Low physical activity,Rate,1996,0.189536972,0.342749461,0.040292347
Deaths,China,Female,Age-standardized,Breast cancer,Low physical activity,Rate,1997,0.189133334,0.337912743,0.039838882
Deaths,China,Female,Age-standardized,Breast cancer,Low physical activity,Rate,1998,0.18968997,0.342416738,0.039635823
Deaths,China,Female,Age-standardized,Breast cancer,Low physical activity,Rate,1999,0.191828964,0.346506119,0.03998258
Deaths,China,Female,Age-standardized,Breast cancer,Low physical activity,Rate,2000,0.192199347,0.354589465,0.04042778
Deaths,China,Female,Age-standardized,Breast cancer,Low physical activity,Rate,2001,0.190788345,0.344345752,0.039021838
Deaths,China,Female,Age-standardized,Breast cancer,Low physical activity,Rate,2002,0.186160873,0.327874192,0.039365086
Deaths,China,Female,Age-standardized,Breast cancer,Low physical activity,Rate,2003,0.183868212,0.330706385,0.039236485
Deaths,China,Female,Age-standardized,Breast cancer,Low physical activity,Rate,2004,0.183478006,0.329119788,0.036156407
Deaths,China,Female,Age-standardized,Breast cancer,Low physical activity,Rate,2005,0.183090193,0.32782442,0.038316461
Deaths,China,Female,Age-standardized,Breast cancer,Low physical activity,Rate,2006,0.179150889,0.326703701,0.03706549
Deaths,China,Female,Age-standardized,Breast cancer,Low physical activity,Rate,2007,0.177613485,0.315895166,0.038109634
