measure,location,sex,age,cause,rei,metric,year,val,upper,lower
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,1990,1.994231695,4.318867056,0.634270825
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,1991,2.0126534,4.405760548,0.630981689
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,1992,2.027147756,4.45468716,0.645188324
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,1993,2.05329721,4.451077447,0.645515653
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,1994,2.064029262,4.598661004,0.6489313
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,1995,2.09635728,4.662904791,0.689282011
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,1996,2.121201878,4.771773177,0.646637533
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,1997,2.130948766,4.872690868,0.639239936
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,1998,2.180157147,4.973006579,0.676212959
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,1999,2.237688344,5.148998462,0.66397419
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2000,2.381402758,5.46331295,0.712872017
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2001,2.501286558,5.58937212,0.718250339
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2002,2.624903667,5.819895739,0.717693671
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2003,2.992999885,6.623193286,0.826456593
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2004,3.174858783,7.07024081,0.911562325
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2005,3.211765764,7.086041294,0.932795003
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2006,3.008985003,6.504168498,0.898222613
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2007,3.025835277,6.674716048,0.88935584
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2008,3.100148739,6.54555657,0.888898322
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2009,3.236970064,7.202226119,0.95190815
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2010,3.330751899,7.421482507,0.974527896
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2011,3.340322463,7.297167703,0.959623884
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2012,3.307560475,7.216457713,0.95168347
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2013,3.348392952,7.230823928,0.996753256
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2014,3.279580251,6.855631489,1.005344078
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2015,3.217060714,6.875210846,0.965817208
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2016,3.182227273,6.433264817,0.90332091
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2017,3.140609796,6.512982709,0.897655616
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2018,3.103528965,6.550976784,0.944266224
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2019,3.113811588,6.607374021,0.924980213
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2020,3.138165044,6.728812637,0.97478218
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2021,3.140769553,6.749011679,0.990391625
Deaths,China,Male,Age-standardized,Stroke,Low physical activity,Rate,1990,2.762573136,7.002077525,-1.107912408
Deaths,China,Male,Age-standardized,Stroke,Low physical activity,Rate,1991,2.747515108,7.055582535,-1.123987373
Deaths,China,Male,Age-standardized,Stroke,Low physical activity,Rate,1992,2.755223686,6.900234313,-1.167714949
Deaths,China,Male,Age-standardized,Stroke,Low physical activity,Rate,1993,2.762199735,6.825698346,-1.256724143
Deaths,China,Male,Age-standardized,Stroke,Low physical activity,Rate,1994,2.736497723,6.883809812,-1.393371892
Deaths,China,Male,Age-standardized,Stroke,Low physical activity,Rate,1995,2.749702142,6.970512805,-1.465517011
Deaths,China,Male,Age-standardized,Stroke,Low physical activity,Rate,1996,2.733129276,7.024414971,-1.464033645
Deaths,China,Male,Age-standardized,Stroke,Low physical activity,Rate,1997,2.698413123,7.051519696,-1.500109906
Deaths,China,Male,Age-standardized,Stroke,Low physical activity,Rate,1998,2.715739974,7.033807579,-1.569715114
Deaths,China,Male,Age-standardized,Stroke,Low physical activity,Rate,1999,2.736399788,7.277712186,-1.663969331
Deaths,China,Male,Age-standardized,Stroke,Low physical activity,Rate,2000,2.845590972,7.741783078,-1.83356286
