measure,location,sex,age,cause,rei,metric,year,val,upper,lower
Deaths,Global,Both,All ages,Diabetes mellitus,Low physical activity,Number,1990,55801.394717223535,85577.17232183997,24048.924898153666
Deaths,Global,Both,All ages,Chronic kidney disease,Low physical activity,Number,1990,13770.195566665405,24413.137922432557,5372.535269616052
Deaths,Global,Both,All ages,Chronic kidney disease,Low physical activity,Number,2021,40918.468607308845,72562.92699144184,16172.107175052828
Deaths,Global,Both,All ages,Stroke,Low physical activity,Number,1990,91914.54117839414,198982.36203886403,-9480.173135766316
Deaths,Global,Both,All ages,Stroke,Low physical activity,Number,2021,137783.722468968,325164.6675551267,-31385.982637806024
Deaths,Global,Both,All ages,All causes,Low physical activity,Number,1990,342760.5356372135,549085.967224578,146388.47345781646
Deaths,Global,Both,All ages,All causes,Low physical activity,Number,2021,657618.6957347017,1058456.2334232826,278741.7867739288
Deaths,Global,Both,All ages,Lower extremity peripheral arterial disease,Low physical activity,Number,1990,1294.3201985664753,2496.8516309288107,376.3988970028997
Deaths,Global,Both,All ages,Lower extremity peripheral arterial disease,Low physical activity,Number,2021,1702.9623218358795,3310.3875001707183,493.02933028078064
Deaths,China,Both,All ages,Breast cancer,Low physical activity,Number,1990,748.3766201006446,1399.4194348723688,144.91499425358947
Deaths,China,Both,All ages,Breast cancer,Low physical activity,Number,2021,1925.204223686619,3598.3465548839386,371.1158298539898
Deaths,China,Both,All ages,Ischemic heart disease,Low physical activity,Number,1990,12808.26261055474,22545.478570591848,5227.15567473187
Deaths,China,Both,All ages,Ischemic heart disease,Low physical activity,Number,2021,57720.55160462072,106093.78340341408,23734.998888288035
Deaths,China,Both,All ages,Colon and rectum cancer,Low physical activity,Number,1990,5734.542201466921,8371.033689312222,3368.807573503679
Deaths,China,Both,All ages,Colon and rectum cancer,Low physical activity,Number,2021,16698.46948817214,24625.75844784394,10065.025345733196
Deaths,China,Both,All ages,Stroke,Low physical activity,Number,1990,19802.840715275997,38636.46381027336,3684.80201813631
Deaths,China,Both,All ages,Stroke,Low physical activity,Number,2021,45502.95976372076,112130.22174712362,-9993.946831499714
Deaths,China,Both,All ages,Diabetes mellitus,Low physical activity,Number,1990,5532.070095050205,8709.074523729632,2274.5134375938137
Deaths,China,Both,All ages,Diabetes mellitus,Low physical activity,Number,2021,17106.38778952435,28029.002462132063,7495.186340816166
Deaths,China,Both,All ages,Tuberculosis,Low physical activity,Number,1990,1201.3760681171716,2309.885680849244,382.7931182577821
Deaths,China,Both,All ages,Tuberculosis,Low physical activity,Number,2021,426.0134878238817,817.766521446969,133.06866286388407
Deaths,Global,Both,All ages,Breast cancer,Low physical activity,Number,1990,8177.912023454442,14354.517113339494,1662.6395433824446
Deaths,Global,Both,All ages,Breast cancer,Low physical activity,Number,2021,15964.161472152517,28326.20524474368,3230.214122857461
Deaths,China,Both,All ages,Lower extremity peripheral arterial disease,Low physical activity,Number,1990,15.678050819847437,31.957316546453207,4.265350930444765
Deaths,China,Both,All ages,Lower extremity peripheral arterial disease,Low physical activity,Number,2021,71.37345398616941,145.6268035058185,20.04942506897308
Deaths,Global,Both,All ages,Colon and rectum cancer,Low physical activity,Number,1990,36496.79246585398,50771.75543441421,23150.548708578743
Deaths,Global,Both,All ages,Colon and rectum cancer,Low physical activity,Number,2021,71475.95741316603,98195.49035386842,44830.06288097051
Deaths,Global,Both,All ages,Tuberculosis,Low physical activity,Number,1990,9575.435202401324,17702.602097782354,2908.031432373172
Deaths,Global,Both,All ages,Tuberculosis,Low physical activity,Number,2021,8310.110143240587,14916.379536635037,2706.4077228763017
Deaths,China,Both,All ages,Chronic kidney disease,Low physical activity,Number,1990,3038.9215236481523,5419.254778638717,1216.4203627134175
Deaths,China,Both,All ages,Chronic kidney disease,Low physical activity,Number,2021,8700.750030127603,15144.767348279129,3312.8089763200187
Deaths,China,Both,All ages,All causes,Low physical activity,Number,1990,48882.067885033655,81461.03630266487,20381.004934950797
Deaths,China,Both,All ages,All causes,Low physical activity,Number,2021,148151.70984166226,264484.0760090352,57143.1520556089
Deaths,Global,Both,All ages,Diabetes mellitus,Low physical activity,Number,2021,149213.77369598,228317.8900970272,65193.59242291903
Deaths,Global,Both,All ages,Ischemic heart disease,Low physical activity,Number,1990,125729.9442846539,199338.8023274704,55488.41386619239
Deaths,Global,Both,All ages,Ischemic heart disease,Low physical activity,Number,2021,232249.53961204947,371374.5544677336,103518.11739266432
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,Breast cancer,Low physical activity,Number,1990,219022.34063205004,378430.4999940987,43911.8841908052
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,Breast cancer,Low physical activity,Number,2021,415254.34430462326,729174.9288770126,83318.36965216493
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,Chronic kidney disease,Low physical activity,Number,1990,355838.2676856782,622350.4957874159,137251.64233584644
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,Chronic kidney disease,Low physical activity,Number,2021,913068.9596111864,1619766.92778443,348170.5813549302
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,Colon and rectum cancer,Low physical activity,Number,1990,725263.4426013186,1007049.4409469672,458229.1613585591
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,Colon and rectum cancer,Low physical activity,Number,2021,1329689.3364427993,1829992.6056577412,831183.7208667737
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Tuberculosis,Low physical activity,Number,1990,31614.95672205783,60368.81252566606,9580.24746489857
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Tuberculosis,Low physical activity,Number,2021,12654.933452134072,24167.228143773234,3926.6338653267535
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Chronic kidney disease,Low physical activity,Number,1990,78751.32929661829,141575.01323234732,31192.37372424447
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Chronic kidney disease,Low physical activity,Number,2021,189095.10759021065,332756.0516426579,72233.55028459316
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Low physical activity,Number,1990,7785617.396298416,12161764.572885368,3512412.2727608043
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Low physical activity,Number,2021,15704960.432868162,24379666.279943805,7334697.507418225
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,Diabetes mellitus,Low physical activity,Number,1990,1755081.5916397572,2694173.43945256,756858.616564502
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,Diabetes mellitus,Low physical activity,Number,2021,5523050.321560415,8638534.849114262,2407128.1500000115
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Ischemic heart disease,Low physical activity,Number,1990,237710.3567956544,396304.4598010275,103505.75125123918
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Ischemic heart disease,Low physical activity,Number,2021,827789.0293475544,1470328.1103415426,365854.7028733509
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Stroke,Low physical activity,Number,1990,510439.3847145506,891930.6544824367,186946.3931147544
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Stroke,Low physical activity,Number,2021,1086837.9259506194,2144873.8167379284,230331.05768004837
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,Ischemic heart disease,Low physical activity,Number,1990,2248010.8543754886,3466301.011624818,1013161.3623794874
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,Ischemic heart disease,Low physical activity,Number,2021,3897940.995537521,6116372.845482394,1767043.4517963177
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Lower extremity peripheral arterial disease,Low physical activity,Number,1990,1841.089786560979,4082.359814696308,436.1423436107749
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Lower extremity peripheral arterial disease,Low physical activity,Number,2021,5461.429554049281,11834.627824546656,1286.883497420711
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,Stroke,Low physical activity,Number,1990,2193900.482312197,3924271.522543503,649367.7740938335
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,Stroke,Low physical activity,Number,2021,3358676.042868391,6300658.505482219,907211.5982038009
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,Tuberculosis,Low physical activity,Number,1990,260124.37082337824,482123.8428581513,76956.86081044853
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,Tuberculosis,Low physical activity,Number,2021,228979.03424800772,415260.93541651976,74150.09121723326
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Diabetes mellitus,Low physical activity,Number,1990,234966.15722688328,371960.1884506173,99510.01908555313
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Diabetes mellitus,Low physical activity,Number,2021,757445.4786212719,1219478.8368815775,327374.89460268826
DALYs (Disability-Adjusted Life Years),China,Both,All ages,All causes,Low physical activity,Number,1990,1246888.3871861706,1981540.08045002,526730.4191492747
DALYs (Disability-Adjusted Life Years),China,Both,All ages,All causes,Low physical activity,Number,2021,3254643.746904648,5324092.465339154,1383116.1019938504
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,Lower extremity peripheral arterial disease,Low physical activity,Number,1990,28376.046228551277,55991.27368444356,7859.4075683580495
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,Lower extremity peripheral arterial disease,Low physical activity,Number,2021,38301.398295204366,76030.46478226442,10470.803574216305
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Breast cancer,Low physical activity,Number,1990,23212.509115108656,42571.45908307056,4512.075802427356
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Breast cancer,Low physical activity,Number,2021,54895.49701960421,103414.52039651544,10086.18737281671
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Colon and rectum cancer,Low physical activity,Number,1990,128352.6035287358,188831.9459599214,74846.96215718277
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Colon and rectum cancer,Low physical activity,Number,2021,320464.34536920453,474069.9170687243,192274.949938948
