,DALYs (95% UI),,,,,Deaths(95% UI),,,,
,1990,,2021,,EAPC (95% CI),1990,,2021,,EAPC (95% CI)
,Number,Age-standardized rate,Number,Age-standardized rate,,Number,Age-standardized rate,Number,Age-standardized rate,
All causes,1246888.39 (526730.42 to 1981540.08),168.93 (70.81 to 276.67),3254643.75 (1383116.10 to 5324092.47),162.52 (66.38 to 269.91),-0.08 (-0.21 to 0.04),48882.07 (20381.00 to 81461.04),8.38 (3.18 to 14.94),148151.71 (57143.15 to 264484.08),8.18 (2.94 to 14.95),0.07 (-0.14 to 0.28)
Breast cancer,23212.51 (4512.08 to 42571.46),2.56 (0.50 to 4.76),54895.50 (10086.19 to 103414.52),2.61 (0.47 to 4.91),-0.23 (-0.34 to -0.12),748.38 (144.91 to 1399.42),0.10 (0.02 to 0.18),1925.20 (371.12 to 3598.35),0.09 (0.02 to 0.17),-0.49 (-0.62 to -0.35)
Chronic kidney disease,78751.33 (31192.37 to 141575.01),11.04 (4.45 to 19.52),189095.11 (72233.55 to 332756.05),9.43 (3.59 to 16.48),-0.56 (-0.71 to -0.41),3038.92 (1216.42 to 5419.25),0.55 (0.23 to 0.97),8700.75 (3312.81 to 15144.77),0.48 (0.19 to 0.83),-0.58 (-0.72 to -0.45)
Colon and rectum cancer,128352.60 (74846.96 to 188831.95),17.12 (10.06 to 24.93),320464.35 (192274.95 to 474069.92),15.63 (9.47 to 22.88),-0.4 (-0.52 to -0.28),5734.54 (3368.81 to 8371.03),0.93 (0.55 to 1.36),16698.47 (10065.03 to 24625.76),0.87 (0.53 to 1.29),-0.33 (-0.41 to -0.25)
Diabetes mellitus,234966.16 (99510.02 to 371960.19),30.12 (12.64 to 46.95),757445.48 (327374.89 to 1219478.84),36.54 (15.85 to 58.04),0.42 (0.29 to 0.54),5532.07 (2274.51 to 8709.07),0.89 (0.37 to 1.40),17106.39 (7495.19 to 28029.00),0.90 (0.40 to 1.47),0.02 (-0.24 to 0.28)
Ischemic heart disease,237710.36 (103505.75 to 396304.46),40.72 (16.75 to 71.08),827789.03 (365854.70 to 1470328.11),46.05 (19.74 to 83.48),0.8 (0.52 to 1.07),12808.26 (5227.16 to 22545.48),2.86 (1.12 to 5.37),57720.55 (23735.00 to 106093.78),3.52 (1.43 to 6.58),1.12 (0.78 to 1.46)
Lower extremity peripheral arterial disease,1841.09 (436.14 to 4082.36),0.27 (0.07 to 0.60),5461.43 (1286.88 to 11834.63),0.27 (0.06 to 0.58),-0.45 (-0.62 to -0.29),15.68 (4.27 to 31.96),0.00 (0.00 to 0.01),71.37 (20.05 to 145.63),0.00 (0.00 to 0.01),0.62 (0.42 to 0.83)
Stroke,510439.38 (186946.39 to 891930.65),63.24 (11.05 to 124.92),1086837.93 (230331.06 to 2144873.82),51.38 (6.16 to 108.84),-0.7 (-0.83 to -0.57),19802.84 (3684.80 to 38636.46),2.88 (-0.90 to 6.95),45502.96 (-9993.95 to 112130.22),2.29 (-1.04 to 6.20),-0.75 (-0.95 to -0.55)
Tuberculosis,31614.96 (9580.25 to 60368.81),3.86 (1.22 to 7.43),12654.93 (3926.63 to 24167.23),0.60 (0.19 to 1.16),-6.14 (-6.34 to -5.93),1201.38 (382.79 to 2309.89),0.17 (0.05 to 0.33),426.01 (133.07 to 817.77),0.02 (0.01 to 0.04),-7 (-7.27 to -6.72)
Sex,,,,,,,,,,
Male,465791.87 (175640.94 to 818970.60),137.57 (50.85 to 246.81),1378611.04 (549771.09 to 2402506.03),152.11 (61.70 to 275.42),0.41 (0.29 to 0.53),17838.73 (6456.69 to 31808.92),7.11 (2.04 to 13.69),62215.96 (22342.05 to 117007.55),8.22 (2.65 to 16.55),0.66 (0.44 to 0.88)
Female,781096.52 (342910.83 to 1266403.84),197.08 (82.59 to 330.26),1876032.70 (782403.62 to 3233105.77),173.98 (72.22 to 300.71),-0.39 (-0.54 to -0.25),31043.34 (13277.73 to 53452.42),9.37 (3.65 to 17.13),85935.75 (31627.28 to 163712.97),8.29 (2.90 to 16.00),-0.28 (-0.5 to -0.06)
