measure,location,sex,age,cause,rei,metric,year,val (lower to upper)
Deaths,China,Female,Age-standardized,Breast cancer,Low physical activity,Rate,1990,0.18 (0.04 to 0.34)
Deaths,China,Female,Age-standardized,Breast cancer,Low physical activity,Rate,1991,0.18 (0.04 to 0.33)
Deaths,China,Female,Age-standardized,Breast cancer,Low physical activity,Rate,1992,0.18 (0.04 to 0.34)
Deaths,China,Female,Age-standardized,Breast cancer,Low physical activity,Rate,1993,0.19 (0.04 to 0.34)
Deaths,China,Female,Age-standardized,Breast cancer,Low physical activity,Rate,1994,0.19 (0.04 to 0.34)
Deaths,China,Female,Age-standardized,Breast cancer,Low physical activity,Rate,1995,0.19 (0.04 to 0.33)
Deaths,China,Female,Age-standardized,Breast cancer,Low physical activity,Rate,1996,0.19 (0.04 to 0.34)
Deaths,China,Female,Age-standardized,Breast cancer,Low physical activity,Rate,1997,0.19 (0.04 to 0.34)
Deaths,China,Female,Age-standardized,Breast cancer,Low physical activity,Rate,1998,0.19 (0.04 to 0.34)
Deaths,China,Female,Age-standardized,Breast cancer,Low physical activity,Rate,1999,0.19 (0.04 to 0.35)
Deaths,China,Female,Age-standardized,Breast cancer,Low physical activity,Rate,2000,0.19 (0.04 to 0.35)
Deaths,China,Female,Age-standardized,Breast cancer,Low physical activity,Rate,2001,0.19 (0.04 to 0.34)
Deaths,China,Female,Age-standardized,Breast cancer,Low physical activity,Rate,2002,0.19 (0.04 to 0.33)
Deaths,China,Female,Age-standardized,Breast cancer,Low physical activity,Rate,2003,0.18 (0.04 to 0.33)
Deaths,China,Female,Age-standardized,Breast cancer,Low physical activity,Rate,2004,0.18 (0.04 to 0.33)
Deaths,China,Female,Age-standardized,Breast cancer,Low physical activity,Rate,2005,0.18 (0.04 to 0.33)
Deaths,China,Female,Age-standardized,Breast cancer,Low physical activity,Rate,2006,0.18 (0.04 to 0.33)
Deaths,China,Female,Age-standardized,Breast cancer,Low physical activity,Rate,2007,0.18 (0.04 to 0.32)
Deaths,China,Female,Age-standardized,Breast cancer,Low physical activity,Rate,2008,0.18 (0.04 to 0.32)
Deaths,China,Female,Age-standardized,Breast cancer,Low physical activity,Rate,2009,0.17 (0.04 to 0.31)
Deaths,China,Female,Age-standardized,Breast cancer,Low physical activity,Rate,2010,0.18 (0.03 to 0.32)
Deaths,China,Female,Age-standardized,Breast cancer,Low physical activity,Rate,2011,0.18 (0.04 to 0.32)
Deaths,China,Female,Age-standardized,Breast cancer,Low physical activity,Rate,2012,0.17 (0.03 to 0.31)
Deaths,China,Female,Age-standardized,Breast cancer,Low physical activity,Rate,2013,0.17 (0.03 to 0.30)
Deaths,China,Female,Age-standardized,Breast cancer,Low physical activity,Rate,2014,0.16 (0.03 to 0.30)
Deaths,China,Female,Age-standardized,Breast cancer,Low physical activity,Rate,2015,0.16 (0.03 to 0.29)
Deaths,China,Female,Age-standardized,Breast cancer,Low physical activity,Rate,2016,0.16 (0.03 to 0.30)
Deaths,China,Female,Age-standardized,Breast cancer,Low physical activity,Rate,2017,0.17 (0.03 to 0.29)
Deaths,China,Female,Age-standardized,Breast cancer,Low physical activity,Rate,2018,0.17 (0.03 to 0.31)
Deaths,China,Female,Age-standardized,Breast cancer,Low physical activity,Rate,2019,0.17 (0.03 to 0.32)
Deaths,China,Female,Age-standardized,Breast cancer,Low physical activity,Rate,2020,0.18 (0.03 to 0.31)
Deaths,China,Female,Age-standardized,Breast cancer,Low physical activity,Rate,2021,0.18 (0.03 to 0.33)
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,1990,1.99 (0.63 to 4.32)
Deaths,China,Female,Age-standardized,Ischemic heart disease,Low physical activity,Rate,1990,3.41 (1.28 to 6.30)
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,1991,2.01 (0.63 to 4.41)
Deaths,China,Female,Age-standardized,Ischemic heart disease,Low physical activity,Rate,1991,3.35 (1.32 to 6.26)
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,1992,2.03 (0.65 to 4.45)
Deaths,China,Female,Age-standardized,Ischemic heart disease,Low physical activity,Rate,1992,3.32 (1.28 to 6.40)
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,1993,2.05 (0.65 to 4.45)
Deaths,China,Female,Age-standardized,Ischemic heart disease,Low physical activity,Rate,1993,3.31 (1.25 to 6.23)
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,1994,2.06 (0.65 to 4.60)
Deaths,China,Female,Age-standardized,Ischemic heart disease,Low physical activity,Rate,1994,3.30 (1.29 to 5.95)
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,1995,2.10 (0.69 to 4.66)
Deaths,China,Female,Age-standardized,Ischemic heart disease,Low physical activity,Rate,1995,3.28 (1.29 to 6.02)
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,1996,2.12 (0.65 to 4.77)
Deaths,China,Female,Age-standardized,Ischemic heart disease,Low physical activity,Rate,1996,3.27 (1.32 to 6.11)
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,1997,2.13 (0.64 to 4.87)
Deaths,China,Female,Age-standardized,Ischemic heart disease,Low physical activity,Rate,1997,3.27 (1.32 to 5.95)
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,1998,2.18 (0.68 to 4.97)
Deaths,China,Female,Age-standardized,Ischemic heart disease,Low physical activity,Rate,1998,3.34 (1.37 to 6.09)
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,1999,2.24 (0.66 to 5.15)
Deaths,China,Female,Age-standardized,Ischemic heart disease,Low physical activity,Rate,1999,3.44 (1.37 to 6.37)
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2000,2.38 (0.71 to 5.46)
Deaths,China,Female,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2000,3.63 (1.43 to 6.78)
