measure,location,sex,age,cause,rei,metric,year,formatted_val
Deaths,Global,Both,All ages,Diabetes mellitus,Low physical activity,Number,1990,55801.39 (24048.92 to 85577.17)
Deaths,Global,Both,All ages,Chronic kidney disease,Low physical activity,Number,1990,13770.20 (5372.54 to 24413.14)
Deaths,Global,Both,All ages,Chronic kidney disease,Low physical activity,Number,2021,40918.47 (16172.11 to 72562.93)
Deaths,Global,Both,All ages,Stroke,Low physical activity,Number,1990,91914.54 (-9480.17 to 198982.36)
Deaths,Global,Both,All ages,Stroke,Low physical activity,Number,2021,137783.72 (-31385.98 to 325164.67)
Deaths,Global,Both,All ages,All causes,Low physical activity,Number,1990,342760.54 (146388.47 to 549085.97)
Deaths,Global,Both,All ages,All causes,Low physical activity,Number,2021,657618.70 (278741.79 to 1058456.23)
Deaths,Global,Both,All ages,Lower extremity peripheral arterial disease,Low physical activity,Number,1990,1294.32 (376.40 to 2496.85)
Deaths,Global,Both,All ages,Lower extremity peripheral arterial disease,Low physical activity,Number,2021,1702.96 (493.03 to 3310.39)
Deaths,China,Both,All ages,Breast cancer,Low physical activity,Number,1990,748.38 (144.91 to 1399.42)
Deaths,China,Both,All ages,Breast cancer,Low physical activity,Number,2021,1925.20 (371.12 to 3598.35)
Deaths,China,Both,All ages,Ischemic heart disease,Low physical activity,Number,1990,12808.26 (5227.16 to 22545.48)
Deaths,China,Both,All ages,Ischemic heart disease,Low physical activity,Number,2021,57720.55 (23735.00 to 106093.78)
Deaths,China,Both,All ages,Colon and rectum cancer,Low physical activity,Number,1990,5734.54 (3368.81 to 8371.03)
Deaths,China,Both,All ages,Colon and rectum cancer,Low physical activity,Number,2021,16698.47 (10065.03 to 24625.76)
Deaths,China,Both,All ages,Stroke,Low physical activity,Number,1990,19802.84 (3684.80 to 38636.46)
Deaths,China,Both,All ages,Stroke,Low physical activity,Number,2021,45502.96 (-9993.95 to 112130.22)
Deaths,China,Both,All ages,Diabetes mellitus,Low physical activity,Number,1990,5532.07 (2274.51 to 8709.07)
Deaths,China,Both,All ages,Diabetes mellitus,Low physical activity,Number,2021,17106.39 (7495.19 to 28029.00)
Deaths,China,Both,All ages,Tuberculosis,Low physical activity,Number,1990,1201.38 (382.79 to 2309.89)
Deaths,China,Both,All ages,Tuberculosis,Low physical activity,Number,2021,426.01 (133.07 to 817.77)
